flodau	vloːdai̯
ffroenuchel	frɔi̯nɪχɛl
sodlau uchel	sɔdlai̯iːχɛl
pwnc	pʊŋk
conyn	kɔnɪn
atseinio	atsei̯njɔ
ban	ban
aflafar	avlavar
dyfarnwr	dəvarnʊr
trefydd	trɛvɪð
o	oː
ffionau	fioːnɛ
chwiorydd	ʍioːrɪð
bydd	biːð
be'	bɛ
ffeindiaf	fɪndja
ffenest	fɛnɛsd
graff	ɡraf
drysfa	drəsva
goch	ɡoːχ
nyrs	nərs
gweud	ɡwei̯d
gwenith	ɡwɛnɪθ
llungopïau	ɬiːŋɡɔpiːɛ
trawsenw	trau̯sɛnu
anobaith	anoːbaiθ
ddail	ðai̯l
chwydd	χʊi̯ð
pîn	piːn
pentwr	pɛntʊr
nei	nei̯
amanita droednoeth	amanɪtadrɔi̯dnɔi̯θ
genidol	ɡɛniːdɔl
llysieua	ɬəsjei̯a
march	marχ
bywgraffiadur	bɪu̯ɡrafjadɪr
ethrefig	ɛθreːvɪɡ
llinyn	ɬɪnɪn
marchogaeth	marχoːɡɛθ
coginio	kɔɡɪnjɔ
mhobl	m̥oːbɔl
arhosfa	arhɔsva
wrth hyn	ʊrθhɪn
gwrw	ɡuːru
picau maen	pɪkɛmai̯n
chymedrolwr	χəmɛdrɔlʊr
gwylogod	ɡʊi̯lɔɡɔd
amanita benfelen	amanɪtabɛnvɛlɛn
darianau	darjaːnɛ
ysglodyn	sɡlɔdɪn
nhewed	n̥ɛu̯ɛd
nhraed	n̥raːd
hadeilad	hadei̯lad
llesteirio	ɬɛsdei̯rjɔ
theisen	θei̯ʃɛn
droet	drɔi̯t
fforch	fɔrχ
brawychwr	brau̯əχʊr
penddu	pɛnði
caerfaddon	kai̯rvaːðɔn
addolwr	aðɔlʊr
fydd	viːð
het	hɛt
parth	parθ
cheisio	χei̯ʃɔ
allblyg	aɬblɪɡ
gwddwg	ɡuːðuɡ
aelod seneddol	ei̯lɔdsɛneːðɔl
abwydyn	abʊi̯dɪn
mwst	mʊsd
trwy	trʊi̯
heliwm	hɛljʊm
roi	rɔi̯
cyfyng	kəvɪŋ
ngwddwg	ŋuːðuɡ
gwenoliaid	ɡwɛnɔljai̯d
heddlu	hɛðli
chymedrolwr	χəmɛdroːlʊr
benyw	beːnɪu̯
bysell	bəsɛɬ
diffydd	dɪfɪð
caerwynt	kai̯rwɪnt
hon	hɔn
closed	klɔsɛd
rasel	rasɛl
hesgen	hɛsɡɛn
gartref	ɡatrɛ
mynydd	mɪni
chwyldro	χwɪldrɔ
pellweledydd	pɛɬwɛleːdɪð
gaches	ɡaːχɛs
danfon	danvɔn
ngwybodaeth	ŋʊi̯bɔdai̯θ
eithaf	əi̯θav
cyfnodolyn	kəvnɔdɔlɪn
cylchu	kəlχi
cysylltu	kəsəɬdi
sadwrn	saːdʊn
tanwydd	taːnʊi̯ð
diweddar	dɪu̯eːðar
offeren	ɔfɛrɛn
amcangyfrif	amkaŋɡəvri
gwy	ɡʊi̯
caerwysg	kai̯rʊi̯sɡ
carafannau	karavanai̯
farus	varɪs
it	ɪt
awyddus	au̯əðɪs
echdoe	ɛχdɔi̯
cyfrifoldebau	kəvrɪvɔldeːbɛ
llam	ɬam
hwyaden	hʊi̯aːdɛn
chythreuliaid	χəθrei̯ljɛd
lleihau	ɬei̯hai̯
bedw	beːdu
thaclus	θaklɪs
blogiau	blɔɡjɛ
rwyd	rʊi̯d
cynaeafu	kənei̯aːvi
teisen gri	tiːʃɛŋɡriː
efallai	ɛvaɬai̯
radwla	radʊla
uchaf	əχa
lysiau	lɪʃɛ
creisionllyd	krei̯sjɔnɬɪd
teipio	tei̯pjɔ
ysbrydoli	əsbrədɔli
dynladdiad	diːnlaðjad
cangarŵ	kaŋɡaruː
busnes	bɪznɛs
tyngu	təŋi
gelyn	ɡɛlɪn
nest	nɛsd
cyfartaledd	kəvartalɛð
phedol	fɛdɔl
cwestiynau	kwɛsdjənai̯
metelegydd	mɛtɛleːɡɪð
h	hə
ysgafnder	əsɡavndɛr
culdiroedd	kɪldɪrɔi̯ð
oleuadau	ɔlei̯aːdai̯
ymladdwr	əmlaðʊr
arf	arv
glanaf	ɡlaːna
wyddion	wəðjɔn
hiddewiaeth	hɪðeu̯jɛθ
adweithegydd	adwei̯θɛɡɪð
putain	pɪtai̯n
dychrynllyd	dəχrənɬɪd
drudwen	drɪdwɛn
bryf	briːv
penfelyn	pɛnveːlɪn
gwybedyn	ɡwəbeːdɪn
aethom	ei̯θɔm
eisiau	iːʃɛ
drefydd	dreːvɪð
heibio	hei̯bɔ
mhib	m̥iːb
gwlithlaw	ɡwlɪθlau̯
ithfaen	ɪθvai̯n
munud	mɪnɛd
cymedroli	kəmɛdroːli
adweinid	adwei̯nɪd
faneg	vaːnɛɡ
ffionau	fioːnai̯
offeren	ɔfeːrɛn
draenog	drai̯nɔɡ
bachgennyn	baχɡɛnɪn
pur	piːr
ngweriniaeth	ŋwɛrɪnjɛθ
raced	rakɛd
glust	ɡlɪst
sebon	sɛbɔn
ffilmiau	fɪlmjɛ
barc	bark
mhryf	m̥riːv
jac codi baw	dʒakkɔdibau̯
rheoliadau	r̥ɛɔljaːdai̯
tadau	tadai̯
iwan	ɪu̯an
clefyd y galon	kleːvɪdəɡaːlɔn
diamod	diaːmɔd
pics	pɪks
wiwerod	wɪu̯ɛrɔd
blew	blɛu̯
gweddi'r arglwydd	ɡwɛðirarɡlui̯ð
blawd	blau̯d
ofnadwy	ɔvnaːdʊi̯
sydd	siːð
cymylau	kəməlai̯
pysgod	pəsɡɔd
glynu	ɡləni
phrydain	frədɛn
chwyno	χʊi̯nɔ
ebol	eːbɔl
bwa	buːa
ymlaen	mlai̯n
af	aːv
melfaréd	mɛlvarɛd
briciau	brikjai̯
nes	nɛs
farchnad	varχnad
gyfiawnder	ɡəvjau̯ndɛr
gain	ɡai̯n
brwdfrydedd	brʊdvrədɛð
tarianau	tarjanɛ
eraill	eːrɪɬ
ymadael	əmaːdɛl
pentis	pɛntɪs
cyfartal	kəvartal
amanita'r gwybed	amanɪtarɡwəbɛd
rhychau	r̥əχɛ
llamidogion	ɬamɪdɔɡjɔn
ticio	tɪkjɔ
huna	hɪna
gadair	ɡaːdɛr
treiglad	trei̯ɡlad
dywyll	dəʊi̯ɬ
merfenw	mɛrvɛnu
genedigaeth	ɡɛnɛdiːɡɛθ
llanc	ɬaŋk
calon	kalɔn
nghwch	ŋ̊ʊχ
tŵr	tuːr
nhafarn	n̥aːvarn
cyn‌gyd	kəŋɪd
cledr	klɛdr
erys	ɛrɪs
gymaint	ɡəmai̯nt
tg	təɡə
chnau	χnai̯
hirgrwn	hɪrɡrʊn
adrodd	adrɔð
iddewig	ɪðɛu̯ɪɡ
nhain	n̥ai̯n
brawychiadau	brau̯əχjaːdɛ
llifogydd	ɬivoːɡɪð
fara	vaːra
celet	keːlɛt
egwyl	eːɡʊl
miliwn	mɪljʊn
coronafeirws	kɔrɔnavei̯rʊs
beirniaid	bei̯rnjɛd
chacha	χaχa
diolchgarwch	diːɔlχɡarʊχ
saethu	sei̯θi
chwarren	χwarɛn
pedair	pɛdɛr
gwelwn	ɡwɛlʊn
mêl	meːl
èff	ɛf
magnelau	maɡneːlai̯
cweryl	kweːrɪl
nef	neːv
hoffet	hɔfɛt
troen	trɔi̯n
cynhennus	kənhɛnɪs
gampfa	ɡampva
beirniadu	bei̯rnjaːdi
paham	paham
tenau	teːnɛ
ofnadwy	ɔvnadʊi̯
thrwyddedau	θrʊi̯ðɛdai̯
cwstardiau	kʊsdardjɛ
blogio	blɔɡjɔ
gwrthiselder	ɡʊrθɪsɛldɛr
charai	χaːrai̯
nharianau	n̥arjaːnɛ
hynafol	hənavɔl
blodfresych	blɔdvrɛsɪχ
gano	ɡaːnɔ
chwyddiant	χwəðjant
adfilwyr	advɪlwɪr
llestr	ɬɛstɛr
gwybodaeth	ɡʊi̯boːdɛθ
pumdeg	pɪmdɛɡ
des	deːs
rhofio	r̥ɔvjɔ
laned	lanɛd
afalau	vaːlɛ
barnwr	barnʊr
cyflogaeth	kəvlɔɡɛθ
gwin newydd	ɡwiːnnɛu̯ɪð
gweles	ɡwɛlɛs
syrpréis	sərprei̯z
ngwrando	ŋwrandɔ
wyau	wiɛ
dybarth	dəbarθ
credes	kreːdɛs
athrawon	aθrau̯ɔn
phoeni	fɔi̯ni
aeled	ei̯lɛd
llwybr	ɬʊi̯bɪr
ecs	ɛks
chwaer	ʍai̯r
daled	dalɛd
gelyn	ɡeːlɪn
cyfeillgar	kəvei̯ɬɡar
teledu	tɛlɛdi
beic	bei̯k
talan	talan
ddeiliad	ðei̯ljad
du	diː
gwrthrych	ɡʊrθrɪχ
cythraul	kəθrai̯l
atelid	atɛlɪd
meddai	meːðɛ
caergaint	kai̯rɡai̯nt
pabyddiaeth	pabəðjai̯θ
hywel	həu̯ɛl
clwt	klʊt
nadlwytho	nadlʊi̯θɔ
allforion	aɬvɔrjɔn
aidd	ai̯ð
anghymreigio	aŋhəmrei̯ɡjɔ
ngoleuadau	ŋɔlei̯adɛ
gwylliaid	ɡʊi̯ɬjai̯d
cofia	kɔvja
gaeaf	ɡei̯a
cryddiaeth	krəðjɛθ
blynyddoedd golau	blənəðɔðɡoːlɛ
goleuadau	ɡɔljaːdɛ
gôt	ɡoːt
ffeindio	fei̯ndjɔ
hadwaenent	hadwei̯nɛnt
chaleted	χalɛtɛd
awtistiaeth	au̯tɪsdjai̯θ
habwyd	habʊi̯d
ymgloi	əmɡlɔi̯
eryr	eːrɪr
seleri	sɛlɛri
lasen	lasɛn
awyren	au̯ərɛn
credant	krɛdant
tatŵs	tatuːz
nhreisiwr	n̥rei̯sjʊr
arwynebedd	arwɪneːbɛð
marchogaeth	marχɔɡai̯θ
pigwrn	piːɡʊrn
casglu	kasɡli
elen	ɛlɛn
lanaf	lanav
sychnentydd	səχnɛntɪð
lleua	ɬei̯a
gogs	ɡɔɡz
cyllell	kəɬɛɬ
achubwr	aχɪbʊr
geiriadur	ɡei̯rjaːdɪr
sgôr	sɡoːr
phen	fɛn
weddïo	wɛðiɔ
biliwn	bɪljʊn
seliau	sɛljai̯
chwech ar hugain	weːχarɪɡɛn
telynoresau	tɛlənɔrɛsɛ
edfryd	ɛdvrɪd
aeaf	ei̯av
ddalen	ðaːlɛn
piau	piːai̯
nghymedrolwr	ŋ̊əmɛdroːlʊr
chefnau	χɛvnɛ
ionawr	jɔnau̯r
cafas	kavas
swynol	sʊi̯nɔl
flaidd	vlai̯ð
cymharu	kəmari
magnelau	maɡneːlɛ
gwefan	ɡweːvan
llew	ɬɛu̯
lesoedd	lɛsɔi̯ð
mynydd	mənɪð
ffion	fiɔn
u	iːbeːdɔl
cyfnodol	kəvnoːdɔl
cynnyrch	kənɪrχ
anfantais	anvantɛs
dalo	daːlɔ
thematig	θɛmatɪɡ
grawnwin	ɡrau̯nwɪn
deset	ðɛsɛt
haden	haːdɛn
gwnaeth	naːθ
iogwrt	jɔɡʊrt
cefnau	kɛvnai̯
metelegwyr	mɛtɛlɛɡwɪr
tybiwyd	təbjʊi̯d
dw i'n iawn	duinjaun
ymrafaelion	əmravei̯ljɔn
goes	ɡoːs
achubiaeth	aχɪbjai̯θ
pleidleisio	plei̯dlei̯sjɔ
côr y cewri	koːrəkɛu̯ri
cilgant	kɪlɡant
arolygiadau	arɔləɡjaːdɛ
neithiwr	niθʊr
beicio	bei̯kjɔ
cwerylau	kwɛrəlai̯
arholiadau	arhɔljadɛ
mân	maːn
dalo	dalɔ
gwelet	ɡweːlɛt
anialwch	anjalʊχ
petryalau	pɛtriaːlai̯
pin	piːn
adnodd	adnɔð
w	uː
dringo	drɪŋɔ
adborth	adbɔrθ
barbeciwio	barbɛkɪu̯jɔ
ugeiniau	ɪɡei̯njɛ
tudno	tɪdnɔ
tarian	tarjan
neud	nei̯d
unfed	ɪnvɛd
gweled	ɡweːlɛd
sylwebu	səlweːbi
aethent	ei̯θɛnt
tewi	tɛu̯i
taliff	talɪf
gwenyn mêl	ɡwɛnɪmmeːl
hogiau	hɔɡjɛ
gwaethaf	ɡwei̯θa
teires	tei̯rɛs
gychwyn	ɡəχwɪn
llaith	ɬai̯θ
chaffi	χafi
efo	ɛvɔ
bwlgaria	bʊlɡarja
pyrwydd	pɪrʊi̯ð
pyglyd	pəɡlɪd
unan	ɪnan
adaregydd	adareːɡɪð
nythfeydd	nəθvei̯ð
llyfrgell	ɬəvrɡɛɬ
achan	aχan
llinos	ɬiːnɔs
ngwylio	ŋwɪljɔ
roeg	rɔi̯ɡ
anfanteision	anvantei̯sjɔn
ymlacio	əmlakjɔ
penfelyn	pɛnvɛlɪn
athrodi	aθroːdi
helwyr	hɛlwɪr
leician	lɪkjan
ugeiniau	ɪɡei̯njai̯
dirmygu	dɪrməɡi
gredo	ɡreːdɔ
dydd sadwrn	diːðsadʊrn
chymaint	χəmɛnt
ffraeon	frei̯ɔn
llwchwr	ɬʊχʊr
llythrennedd	ɬəθrɛnɛð
nerth	nɛrθ
eiddgarwch	ei̯ðɡarʊχ
cyfair	kəvai̯r
gwlyb	ɡwliːb
maestref	meisdrɛv
rhaid	rai̯d
llywodraethu	ɬəu̯ɔdrei̯θi
bibgorn	bɪbɡɔrn
canmoladwy	kanmɔladʊi̯
syndodau	səndɔdai̯
negfed	nɛɡvɛd
anobeithiol	anɔbei̯θjɔl
peiriannau llungopïo	pei̯rjanai̯ɬiːŋɡɔpiːɔ
credaf	kreːda
celai	keːlɛ
sgandinafaidd	sɡandɪnavai̯ð
winoedd	wiːnɔi̯ð
aethem	ei̯θɛm
bronrhuddyn y mynydd	brɔnr̥ɪðɪnəmənɪð
deles	dɛlɛs
cloddfa	klɔðva
hydref	hədrɛv
pethau	peːθɛ
buddugwyr	bɪðɪɡwɪr
hwnna	hʊna
chwech ar hugain	hweːχarhɪɡɛn
pori	pɔri
gaffed	ɡafɛd
heno	hɛnɔ
chaled	χaːlɛd
rydw	rədw
digalondid	dɪɡalɔndɪd
caerdydd	kərdiːð
ystiflogod	əsdɪflɔɡɔd
geilw	ɡei̯lu
ril	riːl
cyfandir	kəvandɪr
siafio	ʃavjɔ
ngweithiwr	ŋwei̯θʊr
ngwybodaeth	ŋʊi̯boːdai̯θ
cydweithio	kiːdwei̯θjɔ
benywaidd	bɛnɪu̯ai̯ð
dyddiadau	dəðjaːdɛ
pharoted	farɔtɛd
hefyd	heːvɪd
gorchymyn	ɡɔrχəmɪn
ciwcymbr	kɪu̯kəmbr
terfynau	tɛrvənai̯
gẃraidd	ɡʊrai̯ð
rheolaidd	r̥ɛoːlɛð
daliadau	daljadɛ
yn achlysurol	ənaχləsiːrɔl
hendrefydd	hɛndrɛvɪð
glythineb	ɡləθɪnɛb
erfyn	ɛrvɪn
gradd	ɡraːð
goddef	ɡoːðɛ
cwstardiau	kʊsdardjai̯
ers	ɛrs
argoel	arɡɔi̯l
brawychiadau	brau̯əχjadɛ
ôl	oːl
colledion	kɔɬɛdjɔn
uchel	iːχɛl
argraffyddion	arɡrafəðjɔn
hysbys	həsbɪs
efo	eːvɔ
thei	θei̯
archebu	arχeːbi
sothach	sɔθaχ
saith ar hugain	sai̯θarhɪɡɛn
efrog	ɛvrɔɡ
laeth	laːθ
mheiriannwr	m̥ei̯rjanʊr
mrawd	mrau̯d
adfywiol	advɪu̯jɔl
canolig	kanoːlɪɡ
amlwg	amlʊɡ
garnau	ɡarnai̯
chwyrn	χwɪrn
ffrind	frɪnd
eleni	leːni
arth fwyaf	arθvʊi̯av
more	mɔrɛ
cloent	klɔi̯nt
syflyd	səvlɪd
penderfynu	pɛndɛrvəni
anafais	anaːvɛs
còd	kɔd
chlybiau	χləbjɛ
dawnsio	dau̯nsɔ
dychryn	dəχrɪn
dryslwyn	drəslʊi̯n
norwy	noːrʊi̯
gobeithio	ɡɔbei̯θɔ
rhudd	r̥iːð
ceinach	kei̯naχ
dewi	dɛu̯i
elai	eːlɛ
gwybodaeth	ɡʊi̯boːdai̯θ
siopa	ʃɔpa
tor	tɔr
drysle	drəslɛ
alban cyntefin	albankənteːvɪn
cacha	kaːχa
ymladdfeydd	əmlaðvei̯ð
carais	kaːrai̯s
brân gernyw	braːnɡɛrnɪu̯
greto	ɡrɛtɔ
ganit	ɡanɪt
paentiau	pei̯ntjai̯
adferadwy	advɛraːdʊi̯
rhyfeddu	r̥əvɛði
corneli	kɔrneːli
meddygfa	mɛðəɡva
afancod	avaŋkɔd
rhwng	r̥ʊŋ
mhethau	m̥eːθai̯
teitlau	tei̯tlai̯
siocled	ʃɔklɛd
eiliad	ei̯ljad
anobaith	anɔbɛθ
henaint	hɛnai̯nt
arian	arjan
asesiad	asɛsjad
ffermio	fɛrmjɔ
gwell	ɡwɛɬ
fenig	veːnɪɡ
gafael	ɡavɛl
warws	waːrʊs
dafarn	davarn
oriau	ɔrjɛ
peithiau	pei̯θjɛ
cernyweg	kɛrnəu̯ɛɡ
pedol	peːdɔl
èdd	ɛð
economegwyr	ɛkɔnɔmɛɡwɪr
charo	χarɔ
tery	teːri
effaith	ɛfɛθ
lwnc	lʊŋk
poenit	pɔi̯nɪt
eisteddfodau	ei̯sdɛðvoːdai̯
elent	ɛlɛnt
llun y llong	ɬiːnəɬɔŋ
oferedd	ɔveːrɛð
blychau llwch	bləχɛɬuːχ
sgwd	sɡuːd
rhegen	r̥eːɡɛn
helaeth	heːlai̯θ
arllwys	arɬʊi̯s
aech	ai̯χ
gall	ɡaːɬ
grefi	ɡreːvi
rywbeth	rʊbɛθ
bwm y gors	bʊməɡɔrs
deigryn	dei̯ɡrɪn
yn union	ənɪnjɔn
gwenhwyfar	ɡwɛnhʊi̯var
gwahanol	ɡwahaːnɔl
drwyddedau	drʊi̯ðɛdɛ
gerdded	ɡɛrðɛd
gemwaith	ɡɛmwai̯θ
ddenmarc	ðɛnmark
chegin	χeːɡɪn
aethoch	ei̯θɔχ
siwan	ʃʊan
coronafirws	kɔroːnaviːrʊs
syml	səml
rhwystredigaeth	r̥ʊi̯sdrɛdiːɡɛθ
hunarddeg	hiːnarðeːɡ
heddiw	heːði
llundain	ɬɪndɛn
huna	hiːna
bengwiniaid	bɛŋɡwɪnjɛd
unigrywiaeth	ɪnɪɡrɪu̯jɛθ
tudalennau gwe	tɪdalɛnɛɡweː
frenin	vrɛnɪn
adferiedydd	advɛrjɛdɪð
radio	radjɔ
gwrthgymdeithasol	ɡʊrθɡəmdei̯θasɔl
croen	kroːn
carafán	karavan
leision	lei̯sjɔn
ymrysonwr	əmrəsoːnʊr
anobaith	anɔbaiθ
treisiol	trei̯sjɔl
siarad	ʃaːrad
drysi	drəsi
dydd sadwrn	dɪsadʊrn
henaint	heːnai̯nt
adnebydd	adnɛbɪð
gwiwerod	ɡwɪu̯ɛrɔd
garais	ɡaːrɛs
archangylion	arχaŋəljɔn
caffed	kafɛd
dyryslwyni	dərəslʊi̯ni
cyfartalog	kəvartalɔɡ
llosgi	ɬɔsɡi
perfeddion	pɛrvɛðjɔn
helyglys	hɛləɡlɪs
archfarchnad	arχvarχnad
gweinyddiad	ɡwei̯nəðjad
daioni	dajɔni
cod	koːd
pengwin	pɛŋɡwɪn
adolygu	adɔləɡi
palu	paːli
colomen	kɔlɔmɛn
melin	mɛlɪn
byddwn	bəðʊn
cynuta	kənɪta
hysgi	həsɡi
peiriannau	pei̯rjanai̯
asgellog	asɡɛɬɔɡ
nhaliadau	n̥aljadɛ
sgwariau	sɡwarjai̯
fochyn	voːχɪn
hosbisau	hɔsbɪsai̯
dengys	dɛŋɡɪs
gloyw	ɡlɔi̯u
ebychnod	ɛbəχnɔd
cyhyrog	kəhərɔɡ
pinafal	pɪnaval
sidan	siːdan
tocyn	tɔkɪn
cweryl	kwɛrɪl
ystiflogod	əsdɪfloːɡɔd
long	lɔŋ
tâp	taːp
adael	aːdɛl
cadair	kadɛr
ganai	ɡaːnai̯
cau	kai̯
geni	ɡɛni
eidal	ei̯dal
helciaid	hɛlkjai̯d
gachais	ɡaːχai̯s
ffenestr	feːnɛsd
seibiau	sei̯bjɛ
byddai	bəðɛ
adarwr	adarʊr
peli troed	pɛlitroːd
unigolyn	ɪnɪɡoːlɪn
ymrysongar	əmrəsɔŋɡar
chell	χɛɬ
telynores	tɛlənoːrɛs
nodi	nɔdi
nabod	naːbɔd
abades	abaːdɛs
anaf	aːnav
adfeiliadau	advei̯ljaːdɛ
chinio	χɪnjɔ
chlust	χlɪst
talet	taːlɛt
twyllwr du	tʊi̯ɬʊrdiː
riliau	rɪljai̯
cwtshys	kʊtʃɪz
dorrai	dɔrai̯
geiriau	ɡei̯rɛ
ardaloedd	ardaːlɔi̯ð
perthyn	pɛrθɪn
cledr	kleːdɛr
aderyn	adeːrɪn
dyrnu	dərni
chafas	χaːvas
ieithyddion	jei̯θəðjɔn
ymuno	əmiːnɔ
rhwydd	r̥ʊi̯ð
doliau	dɔljɛ
mordydd	mɔrdɪð
gwyryf	ɡwərɪv
basio	basjɔ
picls	pɪklz
nghastell	ŋ̊asdɛɬ
garit	ɡaːrɪt
draed	draːd
harlwy	harlui̯
delom	deːlɔm
thelynores	θɛlənoːrɛs
bencampwr	bɛŋkampʊr
dwywaith	dʊi̯wai̯θ
wŷr	wiːr
ychwanegiad	əχwanɛɡjad
adwaenid	adwei̯nɪd
wlad	wlaːd
nhrydanwr	n̥rədaːnʊr
protocol	prɔtɔkɔl
nghwrw	ŋ̊uːru
cloriau	klɔrjai̯
bach	baːχ
gwaethaf	ɡwei̯θav
cyrsiau	kərsjɛ
char	χar
hechrydu	hɛχrədi
o'r gloch	ɔrɡloːχ
byrddydd gaeaf	bərðɪðɡei̯a
hach	aːχ
cerwch	keːrʊχ
metelegol	mɛtɛleːɡɔl
afalau	valɛ
hirnod	hɪrnɔd
cydsynio	kɪdsənjɔ
hinon	hiːnɔn
ohirio	ɔhɪrjɔ
dyfrfarch	dəvrvarχ
caner	kaːnɛr
brathu	braθi
rhwydwaith	r̥ʊi̯dwai̯θ
lifft	lɪfd
uwchben	ɪu̯χbɛn
ngleision	ŋlei̯sjɔn
arfer	arvɛr
elai	ɛlai̯
hunanladdwr	hɪnanɬaːðʊr
canslo	kanslɔ
söolegwr	sɔɔlɛɡʊr
croes	krɔi̯s
wyth ar hugain	ʊi̯θarhiːɡai̯n
nrama	nrama
troli	trɔli
allai	aɬai̯
ymlŷn	əmliːn
buddsoddi	bɪðsoːði
ysbrydoli	əsbrədoːli
gwylio	ɡwɪljɔ
anweddu	anwɛði
anogaf	anɔɡav
gwybedyn	ɡwəbɛdɪn
phigwrn	fɪɡʊrn
fod	voːd
llaswyr	ɬasʊi̯r
cynhyrchu	kənhərχi
rhywbeth	rʊbɛθ
rondefŵ	rɔndɛvuː
o flaen	ɔvlaːn
sawdd	sau̯ð
gweld	ɡwɛld
crychau	krəχɛ
asesiadau	asɛsjaːdai̯
adar duon	adardiːɔn
ffenest	feːnɛsd
goleuadau	ɡɔlei̯adai̯
cwerylwr	kwɛrəlʊr
adweitheg	adwei̯θɛɡ
clawr	klau̯r
cryddiaeth	krəðjai̯θ
blogiau	blɔɡjai̯
utganu	ɪtɡani
angel	aŋɛl
cyfryngu	kəvrəŋi
iselydd	ɪseːlɪð
carw llychlyn	kaːruɬəχlɪn
heisteddfodau	hei̯sdɛðvɔdɛ
caerau	kei̯rɛ
ar gof a chadw	arɡoːvaχaːdu
carco	karkɔ
cyfnos	kəvnɔs
bryna	brəna
nadroedd	nadrɔð
un	iːn
glyw	ɡlɪu̯
nglawio	ŋlau̯jɔ
oleuadau	ɔljadɛ
canai	kanɛ
actores	aktɔrɛs
lanaf	laːnav
hendrefa	hɛndreːva
abadau	abaːdai̯
gwylanod	ɡʊi̯lanɔd
ystafell	əsdavɛɬ
gwobr	ɡwɔbr
cefnog	kɛvnɔɡ
ddefnyddio	ðɛvnəðjɔ
cosyn	kɔsɪn
chlefyd	χlɛvɪd
llasen	ɬasɛn
gegin	ɡɛɡɪn
wybodaeth	ʊi̯boːdɛθ
hoffest	hɔfɛsd
trafod	travɔd
llawfeddyg	ɬau̯vɛðɪɡ
deng	dɛŋ
gael	ɡaːl
gwaredu	ɡwarɛdi
mair	mai̯r
castell	kasdɛɬ
cerwyn	keːrui̯n
talem	talɛm
codi	koːdi
chadair	χadɛr
sadwrn	saːdʊrn
gwelsen	ɡwɛlsɛn
anghofuster	aŋhɔvɪsdɛr
blogwyr	blɔɡwɪr
torchog	tɔrχɔɡ
ddeud	ðei̯d
ciw	kɪu̯
trengholiad	trɛŋhɔljad
drydanwr	drədaːnʊr
berfau	bɛrvɛ
gyda	ɡɪda
hances	hankɛs
blaidd	blai̯ð
gobeithiol	ɡɔbei̯θjɔl
newydd	nɛu̯ɪð
cyfnither	kəvniːθɛr
prysglwyn	prəsɡlʊi̯n
gares	ɡaːrɛs
dau ar hugain	dai̯arhɪɡai̯n
cronni	krɔni
caerfaddon	kai̯rvaðɔn
chwech ar hugain	weːχariːɡɛn
phastai	fasdai̯
coed	kɔi̯d
cara	kara
adeiladu	adei̯laːdi
helwr	hɛlʊr
corgi	kɔrɡi
olaf	oːlav
crëyr	kreːɪr
chefn	χɛvɛn
swyddfa	sʊi̯ðva
adargraffiadau	adarɡrafjadɛ
betws	bɛtʊs
sawl	sau̯l
hadu	hadi
gostyngaidd	ɡɔsdəŋai̯ð
hunain	hɪnai̯n
oren	oːrɛn
dîm	diːm
damweiniau	damwei̯njɛ
briallu	brjaɬi
hudlath	hɪdlaθ
adaregol	adareːɡɔl
gallai	ɡaɬɛ
uchaf	iːχav
iddew	ɪðɛu̯
torrem	tɔrɛm
gemau	ɡeːmai̯
garchar	ɡarχar
hifanc	hɪvaŋk
abergwaun	abɛrɡwai̯n
tyred	tərɛd
gof	ɡoːv
dihareb	dɪhaːrɛb
gofalus	ɡɔvalɪs
anghydraddoldeb	aŋhədraðɔldɛb
sgriau	sɡriːai̯
cyn hyn	kɪnhɪn
rhodri	r̥ɔdri
gadair	ɡaːdai̯r
chlustdlws	χlɪsdlʊs
theulu	θei̯li
in	ɪn
iasol	jasɔl
loegr	lɔi̯ɡr
nghoch	ŋ̊oːχ
gweinyddes	ɡwei̯nəðɛs
fforest	fɔrɛst
sawsiau	sau̯sjɛ
crwst	krʊsd
genhinen	ɡɛnhɪnɛn
laned	laːnɛd
nhaliadau	n̥aljaːdɛ
tywydd	təʊi̯ð
coes	koːs
iddi	iːði
gyfforddus	ɡəfɔrðɪs
asgell	asɡɛɬ
achwyn	aːχʊi̯n
ocsigenu	ɔksɪɡeːni
adferol	adveːrɔl
pabyddiaeth	pabəðjɛθ
dyddiadau	dəðjaːdai̯
glynol	ɡlənɔl
glaw	ɡlau̯
peth	peːθ
gwg	ɡuːɡ
ceith	kəi̯θ
cig	kiːɡ
rywun	rɪu̯ɪn
nharw	n̥aːru
actores	aktoːrɛs
llysg	ɬɪsɡ
cinio	kɪnɔ
cadernid	kadɛrnid
olau	ɔlai̯
angharad	aŋharad
edrydd	ɛdrɪð
diodydd	diɔdɪð
dannoedd	danɔð
pobl	pɔbl
jôc	d͡ʒoːk
nghefnfor	ŋ̊eːvɛnvɔr
garais	ɡarai̯s
est	eːsd
cnoi	knɔi̯
hardded	harðɛd
llwytho	ɬʊi̯θɔ
mango	maŋɡɔ
llinos	ɬɪnɔs
dirmygus	dɪrməɡɪs
boddi	bɔði
diwethaf	dɪu̯ɛθa
diodydd	dioːdɪð
galanas	ɡalanas
deunydd	dei̯nɪð
llychlynnaidd	ɬəχlənai̯ð
chana	χana
ffionau	fɪɔnɛ
beirniadaethau	bei̯rnjadei̯θai̯
eng	ɛŋ
cyfamodi	kəvamɔdi
lefrith	lɛvrɪθ
brythoneg	brəθoːnɛɡ
