bắt ấn	băk˦˥ɤ̆ŋ˩˧
bỏ lửa tay người	bɔ˧˩˨lɯə˧˩˨tăj˧˥ŋɯəj˦˨
thanh toán	tʰan˧˥twaŋ˩˧
đưa dâu	dɯə˧˥jɤ̆w˧˥
khuẩn cầu chuỗi	xwɤ̆ŋ˧˩˨kɤ̆w˦˨cuəj˧˩˨
sói biển	ʂɔj˩˧biəŋ˧˩˨
thí quân	tʰi˩˧wɤ̆ŋ˧˥
cháo	caw˩˧
vâng lĩnh	jɤ̆ŋ˧˥lin˧˩˨
chặn bóng	căŋ˨ˀ˩ʔbɔŋ͡m˩˧
mềm rục	mem˦˨ʐuk͡p˨ˀ˩ʔ
kính nhi viễn chi	kin˩˧ɲi˧˥jiəŋ˧˩˨ci˧˥
canh-ki-na	kan˧˥-ki˧˥-na˧˥
đánh trống qua cửa nhà sấm	dan˩˧ʈoŋ͡m˩˧wa˧˥kɯə˧˩˨ɲa˦˨ʂɤ̆m˩˧
bình toong	bin˦˨tɔŋ͡m˧˥
dơn	jɤŋ˧˥
sơn thục	ʂɤŋ˧˥tʰuk͡p˨ˀ˩ʔ
bẹ sườn	bɛ˨ˀ˩ʔʂɯəŋ˦˨
thẳng tuột	tʰăŋ˧˩˨tuək˨ˀ˩ʔ
đại tá	daj˨ˀ˩ʔta˩˧
chí điểm	ci˩˧diəm˧˩˨
dấu gạch nối	jɤ̆w˩˧ɣak˨ˀ˩ʔnoj˩˧
đàn gẩy tai trâu	daŋ˦˨ɣɤ̆j˧˩˨taj˧˥ʈɤ̆w˧˥
sóng to gió lớn	ʂɔŋ͡m˩˧tɔ˧˥jɔ˩˧lɤŋ˩˧
yêu quí	iəw˧˥wi˩˧
mỏi	mɔj˧˩˨
nhịp độ	ɲip˨ˀ˩ʔdo˨ˀ˩ʔ
nộ khí	no˨ˀ˩ʔxi˩˧
an thành	aŋ˧˥tʰan˦˨
ai điếu	aj˧˥diəw˩˧
rau muối	ʐăw˧˥muəj˩˧
kể lể con cà con kê	ke˧˩˨le˧˩˨kɔŋ͡m˧˥ka˦˨kɔŋ͡m˧˥ke˧˥
dãi góp dầm mưa; dãi gió	jaj˧˩˨ɣɔp˦˥jɤ̆m˦˨mɯə˧˥jaj˧˩˨jɔ˩˧
chỉ huy trưởng	ci˧˩˨hwi˧˥ʈɯəŋ˧˩˨
thái tây	tʰaj˩˧tɤ̆j˧˥
áy	ăj˩˧
rượu rắn	ʐɯəw˨ˀ˩ʔʐăŋ˩˧
máy lạnh	măj˩˧lan˨ˀ˩ʔ
giám mã	jam˩˧ma˧˩˨
béo mỡ	beo˩˧mɤ˧˩˨
trụ	ʈu˨ˀ˩ʔ
khin khít	xin˧˥xit˦˥
xín vàng	sin˩˧jaŋ˦˨
chết trong còn hơn sống đục	cet˦˥ʈɔŋ͡m˧˥kɔŋ͡m˦˨hɤŋ˧˥ʂoŋ͡m˩˧duk͡p˨ˀ˩ʔ
xuân tiêu nhất khắc trị thiên kim	swɤ̆ŋ˧˥tiəw˧˥ɲɤ̆k˦˥xăk˦˥ʈi˨ˀ˩ʔtʰiəŋ˧˥kim˧˥
kim mai	kim˧˥maj˧˥
tuỵ	twi˨ˀ˩ʔ
nền nếp	nen˦˨nep˦˥
tiên thủ	tiəŋ˧˥tʰu˧˩˨
ngò gai	ŋɔ˦˨ɣaj˧˥
tiền lệ	tiəŋ˦˨le˨ˀ˩ʔ
mát rợi	mak˦˥ʐɤj˨ˀ˩ʔ
nước chè	nɯək˦˥cɛ˦˨
địa hạ quân	diə˨ˀ˩ʔha˨ˀ˩ʔwɤ̆ŋ˧˥
độc chất	dok͡p˨ˀ˩ʔcɤ̆k˦˥
hoang sơ	hwaŋ˧˥ʂɤ˧˥
tiểu tư sản	tiəw˧˩˨tɯ˧˥ʂaŋ˧˩˨
vi chấn	ji˧˥cɤ̆ŋ˩˧
cụ già	ku˨ˀ˩ʔja˦˨
tôi đòi	toj˧˥dɔj˦˨
lá lành đùm lá rách	la˩˧lan˦˨dum˦˨la˩˧ʐak˦˥
ót	ɔk͡p˦˥
phụ rẫy	fu˨ˀ˩ʔʐɤ̆j˧˩˨
vén	jɛŋ˩˧
cầu trượt	kɤ̆w˦˨ʈɯək˨ˀ˩ʔ
nguyền	ŋwiəŋ˦˨
máy hát	măj˩˧hak˦˥
ngang nhau	ŋaŋ˧˥ɲăw˧˥
xô-lít	so˧˥-lit˦˥
cộng bào	koŋ͡m˨ˀ˩ʔbaw˦˨
luân canh	lwɤ̆ŋ˧˥kan˧˥
cà khịa	ka˦˨xiə˨ˀ˩ʔ
lạm bổ	lam˨ˀ˩ʔbo˧˩˨
chưa khỏi rên quên thầy	cɯə˧˥xɔj˧˩˨ʐen˧˥wen˧˥tʰɤ̆j˦˨
phịu	fiw˨ˀ˩ʔ
tô tượng đúc chuông	to˧˥tɯəŋ˨ˀ˩ʔduk͡p˦˥cuəŋ˧˥
chơi chua	cɤj˧˥cuə˧˥
nhu dụng	ɲu˧˥juŋ͡m˨ˀ˩ʔ
nhà gỗ	ɲa˦˨ɣo˧˩˨
dầu dọc	jɤ̆w˦˨jɔk͡p˨ˀ˩ʔ
hà hiếp	ha˦˨hiəp˦˥
ki cóp cho cọp nó ăn	ki˧˥kɔp˦˥cɔ˧˥kɔp˨ˀ˩ʔnɔ˩˧ăŋ˧˥
công thức toán	koŋ͡m˧˥tʰɯk˦˥twaŋ˩˧
xô bát xô đũa	so˧˥bak˦˥so˧˥duə˧˩˨
nhanh chai	ɲan˧˥caj˧˥
hợp pháp hoá	hɤp˨ˀ˩ʔfap˦˥hwa˩˧
sán gai	ʂaŋ˩˧ɣaj˧˥
lếch tha lếch thếch	let˦˥tʰa˧˥let˦˥tʰet˦˥
phù voi	fu˦˨jɔj˧˥
câu kéo	kɤ̆w˧˥keo˩˧
thần dân	tʰɤ̆ŋ˦˨jɤ̆ŋ˧˥
sềnh sệch	ʂen˦˨ʂet˨ˀ˩ʔ
sưu cầu	ʂɯw˧˥kɤ̆w˦˨
lúa sớm	luə˩˧ʂɤm˩˧
tế bào quang điện	te˩˧baw˦˨waŋ˧˥diəŋ˨ˀ˩ʔ
xuất môn	swɤ̆k˦˥moŋ͡m˧˥
huy chương	hwi˧˥cɯəŋ˧˥
cơ ngửa	kɤ˧˥ŋɯə˧˩˨
ghe bản lồng	ɣɛ˧˥baŋ˧˩˨loŋ͡m˦˨
khác nào quạ mượn lông công	xak˦˥naw˦˨wa˨ˀ˩ʔmɯəŋ˨ˀ˩ʔloŋ͡m˧˥koŋ͡m˧˥
nhúng tay	ɲuŋ͡m˩˧tăj˧˥
ngang ngược	ŋaŋ˧˥ŋɯək˨ˀ˩ʔ
cảm giác	kam˧˩˨jak˦˥
nghiêm trị	ŋiəm˧˥ʈi˨ˀ˩ʔ
dậy dàng	jɤ̆j˨ˀ˩ʔjaŋ˦˨
sân sau	ʂɤ̆ŋ˧˥ʂăw˧˥
đày đọa	dăj˦˨dwa˨ˀ˩ʔ
học đường	hɔk͡p˨ˀ˩ʔdɯəŋ˦˨
ngang như cua	ŋaŋ˧˥ɲɯ˧˥kuə˧˥
sáo ngữ	ʂaw˩˧ŋɯ˧˩˨
tiên dương	tiəŋ˧˥jɯəŋ˧˥
bản giang	baŋ˧˩˨jaŋ˧˥
bụng thúng cái, lưng cánh phản	buŋ͡m˨ˀ˩ʔtʰuŋ͡m˩˧kaj˩˧lɯŋ˧˥kan˩˧faŋ˧˩˨
tịnh ấn tây	tin˨ˀ˩ʔɤ̆ŋ˩˧tɤ̆j˧˥
tống cựu nghênh tân	toŋ͡m˩˧kɯw˨ˀ˩ʔŋen˧˥tɤ̆ŋ˧˥
cầu kinh	kɤ̆w˦˨kin˧˥
đip	dip˧˥
đoạn giao	dwaŋ˨ˀ˩ʔjaw˧˥
nói bẻm	nɔj˩˧bɛm˧˩˨
chà và	ca˦˨ja˦˨
chữ đệm	cɯ˧˩˨dem˨ˀ˩ʔ
tánh linh	tan˩˧lin˧˥
còng lưng uốn gối	kɔŋ͡m˦˨lɯŋ˧˥uəŋ˩˧ɣoj˩˧
ngáy	ŋăj˩˧
vắng ngắt như tờ	jăŋ˩˧ŋăk˦˥ɲɯ˧˥tɤ˦˨
bựa	bɯə˨ˀ˩ʔ
che đậy	cɛ˧˥dɤ̆j˨ˀ˩ʔ
cấp dưỡng	kɤ̆p˦˥jɯəŋ˧˩˨
diễm kiều	jiəm˧˩˨kiəw˦˨
đứng lại	dɯŋ˩˧laj˨ˀ˩ʔ
lấy	lɤ̆j˩˧
ngành	ŋan˦˨
đít-cua	dit˦˥-kuə˧˥
tuyến yên	twiəŋ˩˧iɛŋ˧˥
thầy số	tʰɤ̆j˦˨ʂo˩˧
nếu vậy	nɛu˩˧jɤ̆j˨ˀ˩ʔ
đô ngự sử	do˧˥ŋɯ˨ˀ˩ʔʂɯ˧˩˨
xuân thu nhị kì	swɤ̆ŋ˧˥tʰu˧˥ɲi˨ˀ˩ʔki˦˨
cặp bà lời	kăp˨ˀ˩ʔba˦˨lɤj˦˨
dạn dĩ	jaŋ˨ˀ˩ʔji˧˩˨
xức dầu	sɯk˦˥jɤ̆w˦˨
trắng phếch	ʈăŋ˩˧fet˦˥
cô nhi viện	ko˧˥ɲi˧˥jiəŋ˨ˀ˩ʔ
nhão nhè	ɲaw˧˩˨ɲɛ˦˨
cơm thập cẩm	kɤm˧˥tʰɤ̆p˨ˀ˩ʔkɤ̆m˧˩˨
lấn	lɤ̆ŋ˩˧
chân mạ	cɤ̆ŋ˧˥ma˨ˀ˩ʔ
dâu hiền nên gái, rể hiền nên trai	jɤ̆w˧˥hiəŋ˦˨nen˧˥ɣaj˩˧ʐe˧˩˨hiəŋ˦˨nen˧˥ʈaj˧˥
làng trên chạ dưới	laŋ˦˨ʈen˧˥ca˨ˀ˩ʔjɯəj˩˧
bằng mạc	băŋ˦˨mak˨ˀ˩ʔ
phôi pha	foj˧˥fa˧˥
xã đội phó	sa˧˩˨doj˨ˀ˩ʔfɔ˩˧
khép nép	xɛp˦˥nɛp˦˥
công dịch	koŋ͡m˧˥jit˨ˀ˩ʔ
khổ	xo˧˩˨
cột gôn	kok͡p˨ˀ˩ʔɣoŋ͡m˧˥
ghi chép	ɣi˧˥cɛp˦˥
không thèm	xoŋ͡m˧˥tʰɛm˦˨
ký giả	ki˩˧ja˧˩˨
bụng như tang trống	buŋ͡m˨ˀ˩ʔɲɯ˧˥taŋ˧˥ʈoŋ͡m˩˧
tiên sinh	tiəŋ˧˥ʂin˧˥
biên thuỳ	biəŋ˧˥tʰwi˦˨
trầm tĩnh	ʈɤ̆m˦˨tin˧˩˨
lão quyền	law˧˩˨wiɛŋ˦˨
hồ thỉ tang bồng	ho˦˨tʰi˧˩˨taŋ˧˥boŋ͡m˦˨
tam hồng	tam˧˥hoŋ͡m˦˨
trịnh huệ	ʈin˨ˀ˩ʔhwe˨ˀ˩ʔ
yếu chân mềm tay	iəw˩˧cɤ̆ŋ˧˥mem˦˨tăj˧˥
lồng ấp	loŋ͡m˦˨ɤ̆p˦˥
chim khuyên	cim˧˥xwiəŋ˧˥
vùn	juŋ͡m˦˨
công toại danh thành	koŋ͡m˧˥twaj˨ˀ˩ʔjan˧˥tʰan˦˨
phản ứng nhiệt hạch	faŋ˧˩˨ɯŋ˩˧ɲiək˨ˀ˩ʔhak˨ˀ˩ʔ
cống vị	koŋ͡m˩˧ji˨ˀ˩ʔ
kho	xɔ˧˥
phú lục	fu˩˧luk͡p˨ˀ˩ʔ
than cốc	tʰaŋ˧˥kok͡p˦˥
nắng mưa	năŋ˩˧mɯə˧˥
kết ngãi	ket˦˥ŋaj˧˩˨
kì thực	ki˦˨tʰɯk˨ˀ˩ʔ
đằn	dăŋ˦˨
đổ oan	do˧˩˨waŋ˧˥
gu	ɣu˧˥
trắm	ʈăm˩˧
xổng	soŋ͡m˧˩˨
bình công	bin˦˨koŋ͡m˧˥
đền nghì trúc mai	den˦˨ŋi˦˨ʈuk͡p˦˥maj˧˥
chàng mạng	caŋ˦˨maŋ˨ˀ˩ʔ
chim ưng nhà trời	cim˧˥ɯŋ˧˥ɲa˦˨ʈɤj˦˨
vượt suối băng rừng	jɯək˨ˀ˩ʔʂuəj˩˧băŋ˧˥ʐɯŋ˦˨
bắc bán cầu	băk˦˥baŋ˩˧kɤ̆w˦˨
câu văn	kɤ̆w˧˥jăŋ˧˥
tham đôn	tʰam˧˥doŋ͡m˧˥
thủ quỹ	tʰu˧˩˨wi˧˩˨
bàn ren	baŋ˦˨ʐɛŋ˧˥
chả chóng thì chầy	ca˧˩˨cɔŋ͡m˩˧tʰi˦˨cɤ̆j˦˨
nhân giả	ɲɤ̆ŋ˧˥ja˧˩˨
ngọn giáo	ŋɔŋ͡m˨ˀ˩ʔjaw˩˧
lệnh bà	len˨ˀ˩ʔba˦˨
đến	den˩˧
tường vi	tɯəŋ˦˨ji˧˥
sặm	ʂăm˨ˀ˩ʔ
võ quan	jɔ˧˩˨waŋ˧˥
bão bùng	baw˧˩˨buŋ͡m˦˨
lẩm ca lẩm cẩm	lɤ̆m˧˩˨ka˧˥lɤ̆m˧˩˨kɤ̆m˧˩˨
cẩm liên	kɤ̆m˧˩˨liəŋ˧˥
hội diện	hoj˨ˀ˩ʔjiəŋ˨ˀ˩ʔ
xấu dạ	sɤ̆w˩˧ja˨ˀ˩ʔ
phô-nô	fo˧˥-no˧˥
quế rành	we˩˧ʐan˦˨
trung thành	ʈuŋ͡m˧˥tʰan˦˨
chơi rông	cɤj˧˥ʐoŋ͡m˧˥
chiến sĩ thi đua	ciəŋ˩˧ʂi˧˩˨tʰi˧˥duə˧˥
ho	hɔ˧˥
cửa hàng	kɯə˧˩˨haŋ˦˨
dáng dấp	jaŋ˩˧jɤ̆p˦˥
tề	te˦˨
quyển	wiɛŋ˧˩˨
yên quý	iɛŋ˧˥wi˩˧
định sẵn	din˨ˀ˩ʔʂăŋ˧˩˨
sơ pai	ʂɤ˧˥paj˧˥
mục nát	muk͡p˨ˀ˩ʔnak˦˥
lá lách	la˩˧lak˦˥
chung lòng chung sức	cuŋ͡m˧˥lɔŋ͡m˦˨cuŋ͡m˧˥ʂɯk˦˥
hiệp lực đồng tâm	hiəp˨ˀ˩ʔlɯk˨ˀ˩ʔdoŋ͡m˦˨tɤ̆m˧˥
đơn tiết	dɤŋ˧˥tiək˦˥
mĩ cảm	mi˧˩˨kam˧˩˨
trọng tải	ʈɔŋ͡m˨ˀ˩ʔtaj˧˩˨
động đất động cát	doŋ͡m˨ˀ˩ʔdɤ̆k˦˥doŋ͡m˨ˀ˩ʔkak˦˥
tiên động	tiəŋ˧˥doŋ͡m˨ˀ˩ʔ
có mà	kɔ˩˧ma˦˨
xe cộ	sɛ˧˥ko˨ˀ˩ʔ
xẻ nghé tan đàn	sɛ˧˩˨ŋɛ˩˧taŋ˧˥daŋ˦˨
tứ xuyên	tɯ˩˧swiəŋ˧˥
đánh trống bỏ dùi	dan˩˧ʈoŋ͡m˩˧bɔ˧˩˨juj˦˨
roi rói	ʐɔj˧˥ʐɔj˩˧
xà rông	sa˦˨ʐoŋ͡m˧˥
óng óng	ɔŋ͡m˩˧ɔŋ͡m˩˧
ngắt lời	ŋăk˦˥lɤj˦˨
chửi lộn	cɯj˧˩˨loŋ͡m˨ˀ˩ʔ
giọng hát	jɔŋ͡m˨ˀ˩ʔhak˦˥
ngưu tất	ŋɯw˧˥tɤ̆k˦˥
buôn gánh bán bưng	buəŋ˧˥ɣan˩˧baŋ˩˧bɯŋ˧˥
hèn mọn	hɛŋ˦˨mɔŋ͡m˨ˀ˩ʔ
tiểu công nghiệp	tiəw˧˩˨koŋ͡m˧˥ŋiəp˨ˀ˩ʔ
cầm họ	kɤ̆m˦˨hɔ˨ˀ˩ʔ
bợn lòng	bɤŋ˨ˀ˩ʔlɔŋ͡m˦˨
bí bơ	bi˩˧bɤ˧˥
vành khuyên	jan˦˨xwiəŋ˧˥
ngọc bội	ŋɔk͡p˨ˀ˩ʔboj˨ˀ˩ʔ
loạt xoạt	lwak˨ˀ˩ʔswak˨ˀ˩ʔ
thạch đạn	tʰak˨ˀ˩ʔdaŋ˨ˀ˩ʔ
bảo dưỡng	baw˧˩˨jɯəŋ˧˩˨
xanh	san˧˥
đong be	dɔŋ͡m˧˥bɛ˧˥
tiêu tiền như phá	tiəw˧˥tiəŋ˦˨ɲɯ˧˥fa˩˧
xuống cấp	suəŋ˩˧kɤ̆p˦˥
ống dẫn khí đốt	oŋ͡m˩˧jɤ̆ŋ˧˩˨xi˩˧dok͡p˦˥
thọc sâu	tʰɔk͡p˨ˀ˩ʔʂɤ̆w˧˥
cực lạc	kɯk˨ˀ˩ʔlak˨ˀ˩ʔ
ỏn thót	ɔŋ͡m˧˩˨tʰɔk͡p˦˥
lò đứng	lɔ˦˨dɯŋ˩˧
mua đi bán lại	muə˧˥di˧˥baŋ˩˧laj˨ˀ˩ʔ
nón gò găng	nɔŋ͡m˩˧ɣɔ˦˨ɣăŋ˧˥
đầu xanh	dɤ̆w˦˨san˧˥
làm ơn	lam˦˨ɤŋ˧˥
nhão nhoét nhão nhoẹt	ɲaw˧˩˨ɲwet˦˥ɲaw˧˩˨ɲwet˨ˀ˩ʔ
chảy	căj˧˩˨
ngòi nổ	ŋɔj˦˨no˧˩˨
gió mùa	jɔ˩˧muə˦˨
ngay	ŋăj˧˥
giùi mài	juj˦˨maj˦˨
ái chà chà	aj˩˧ca˦˨ca˦˨
dị thường	ji˨ˀ˩ʔtʰɯəŋ˦˨
cập thời	kɤ̆p˨ˀ˩ʔtʰɤj˦˨
máy đập	măj˩˧dɤ̆p˨ˀ˩ʔ
sâu vòi voi	ʂɤ̆w˧˥jɔj˦˨jɔj˧˥
chiềng đen	ciəŋ˦˨dɛŋ˧˥
hì	hi˦˨
tập tành	tɤ̆p˨ˀ˩ʔtan˦˨
khoá sinh	xwa˩˧ʂin˧˥
cuồng ẩm	kuəŋ˦˨ɤ̆m˧˩˨
ưu du	ɯw˧˥ju˧˥
tỉnh lộ	tin˧˩˨lo˨ˀ˩ʔ
cụ kị	ku˨ˀ˩ʔki˨ˀ˩ʔ
nâu trắng	nɤ̆w˧˥ʈăŋ˩˧
ngặt ngòi	ŋăk˨ˀ˩ʔŋɔj˦˨
áp bách	ap˦˥bak˦˥
bay nhảy	băj˧˥ɲăj˧˩˨
chí thảo	ci˩˧tʰaw˧˩˨
hèo	heo˦˨
ì ùng	i˦˨uŋ͡m˦˨
trịch	ʈit˨ˀ˩ʔ
kiều nhi	kiəw˦˨ɲi˧˥
đồ thư	do˦˨tʰɯ˧˥
trung vị	ʈuŋ͡m˧˥ji˨ˀ˩ʔ
tú khí	tu˩˧xi˩˧
vải vóc	jaj˧˩˨jɔk͡p˦˥
gỏi	ɣɔj˧˩˨
tĩnh trí	tin˧˩˨ʈi˩˧
phiêu dạt	fiəw˧˥jak˨ˀ˩ʔ
đùa nghịch	duə˦˨ŋit˨ˀ˩ʔ
cháy bùng	căj˩˧buŋ͡m˦˨
rơ-tua	ʐɤ˧˥-tuə˧˥
chẩu	cɤ̆w˧˩˨
máy cày	măj˩˧kăj˦˨
thể lượng	tʰe˧˩˨lɯəŋ˨ˀ˩ʔ
cau tươi	kăw˧˥tɯəj˧˥
cần tái cải dừ; cần tái cải nhừ	kɤ̆ŋ˦˨taj˩˧kaj˧˩˨jɯ˦˨kɤ̆ŋ˦˨taj˩˧kaj˧˩˨ɲɯ˦˨
khoả	xwa˧˩˨
chim cụt	cim˧˥kuk͡p˨ˀ˩ʔ
tốt lễ dễ van	tok͡p˦˥le˧˩˨je˧˩˨jaŋ˧˥
hư vô	hɯ˧˥jo˧˥
xa vút	sa˧˥juk͡p˦˥
liệt bại	liək˨ˀ˩ʔbaj˨ˀ˩ʔ
gia phổ	ja˧˥fo˧˩˨
xa bô chê	sa˧˥bo˧˥ce˧˥
cơ hồ	kɤ˧˥ho˦˨
trầm tích	ʈɤ̆m˦˨tit˦˥
đón ý	dɔŋ͡m˩˧i˩˧
bạc như rận	bak˨ˀ˩ʔɲɯ˧˥ʐɤ̆ŋ˨ˀ˩ʔ
thế nghiệp điền	tʰe˩˧ŋiəp˨ˀ˩ʔdiəŋ˦˨
nón dấu	nɔŋ͡m˩˧jɤ̆w˩˧
in tay	in˧˥tăj˧˥
kịt	kit˨ˀ˩ʔ
bơ bải	bɤ˧˥baj˧˩˨
khinh khí	xin˧˥xi˩˧
nói phét thành thần	nɔj˩˧fɛk˦˥tʰan˦˨tʰɤ̆ŋ˦˨
sài hồ	ʂaj˦˨ho˦˨
quên lửng	wen˧˥lɯŋ˧˩˨
ma mộc	ma˧˥mok͡p˨ˀ˩ʔ
ghê ghê	ɣe˧˥ɣe˧˥
đại cà sa	daj˨ˀ˩ʔka˦˨ʂa˧˥
bám như đỉa	bam˩˧ɲɯ˧˥diə˧˩˨
biên khảo	biəŋ˧˥xaw˧˩˨
vù hương	ju˦˨hɯəŋ˧˥
run như cầy sấy	ʐuŋ͡m˧˥ɲɯ˧˥kɤ̆j˦˨ʂɤ̆j˩˧
cháy trụi	căj˩˧ʈuj˨ˀ˩ʔ
dâm phu	jɤ̆m˧˥fu˧˥
thô kệch	tʰo˧˥ket˨ˀ˩ʔ
xiểm nịnh	siəm˧˩˨nin˨ˀ˩ʔ
cư ngụ	kɯ˧˥ŋu˨ˀ˩ʔ
con chạy	kɔŋ͡m˧˥căj˨ˀ˩ʔ
cách điện	kak˦˥diəŋ˨ˀ˩ʔ
nùi	nuj˦˨
đài hoá thân	daj˦˨hwa˩˧tʰɤ̆ŋ˧˥
đá	da˩˧
xùm xụp	sum˦˨sup˨ˀ˩ʔ
âm nhạc học	ɤ̆m˧˥ɲak˨ˀ˩ʔhɔk͡p˨ˀ˩ʔ
chạy cắm đầu cắm cổ	căj˨ˀ˩ʔkăm˩˧dɤ̆w˦˨kăm˩˧ko˧˩˨
phân rác	fɤ̆ŋ˧˥ʐak˦˥
truy hỏi	ʈwi˧˥hɔj˧˩˨
quốc tế ngữ	wok͡p˦˥te˩˧ŋɯ˧˩˨
ma tịt	ma˧˥tit˨ˀ˩ʔ
giá thành	ja˩˧tʰan˦˨
cánh tay phải	kan˩˧tăj˧˥faj˧˩˨
thanh dịch	tʰan˧˥jit˨ˀ˩ʔ
cơm toi	kɤm˧˥tɔj˧˥
quảng an	waŋ˧˩˨aŋ˧˥
vêu vao	jɛu˧˥jaw˧˥
mèo xanh	meo˦˨san˧˥
bé thơ	bɛ˩˧tʰɤ˧˥
nhạc phổ	ɲak˨ˀ˩ʔfo˧˩˨
tri tâm	ʈi˧˥tɤ̆m˧˥
bưng trống	bɯŋ˧˥ʈoŋ͡m˩˧
thợ giặt	tʰɤ˨ˀ˩ʔjăk˨ˀ˩ʔ
bằm	băm˦˨
đại đội trưởng	daj˨ˀ˩ʔdoj˨ˀ˩ʔʈɯəŋ˧˩˨
mở đường cho hươu chạy	mɤ˧˩˨dɯəŋ˦˨cɔ˧˥hɯəw˧˥căj˨ˀ˩ʔ
lọp đọp	lɔp˨ˀ˩ʔdɔp˨ˀ˩ʔ
đổ ghèn	do˧˩˨ɣɛŋ˦˨
thanh tường	tʰan˧˥tɯəŋ˦˨
học thức	hɔk͡p˨ˀ˩ʔtʰɯk˦˥
còm nhỏm còn nhom	kɔm˦˨ɲɔm˧˩˨kɔŋ͡m˦˨ɲɔm˧˥
khẳn tính	xăŋ˧˩˨tin˩˧
lưu ly	lɯw˧˥li˧˥
lên mây	len˧˥mɤ̆j˧˥
dại gì	jaj˨ˀ˩ʔɣi˦˨
tối như mực	toj˩˧ɲɯ˧˥mɯk˨ˀ˩ʔ
giảng đạo	jaŋ˧˩˨daw˨ˀ˩ʔ
gẫy gọn	ɣɤ̆j˧˩˨ɣɔŋ͡m˨ˀ˩ʔ
bỏ cha	bɔ˧˩˨ca˧˥
tuy lai	twi˧˥laj˧˥
kỳ cựu	ki˦˨kɯw˨ˀ˩ʔ
định tâm	din˨ˀ˩ʔtɤ̆m˧˥
lẩn tránh	lɤ̆ŋ˧˩˨ʈan˩˧
chị ngã em nâng	ci˨ˀ˩ʔŋa˧˩˨ɛm˧˥nɤ̆ŋ˧˥
vận tải	jɤ̆ŋ˨ˀ˩ʔtaj˧˩˨
thứ nguyên	tʰɯ˩˧ŋwiəŋ˧˥
vò tơ	jɔ˦˨tɤ˧˥
đoảng	dwaŋ˧˩˨
thương mãi	tʰɯəŋ˧˥maj˧˩˨
giáo huấn	jaw˩˧hwɤ̆ŋ˩˧
thạch tượng	tʰak˨ˀ˩ʔtɯəŋ˨ˀ˩ʔ
tin yêu	tin˧˥iəw˧˥
thuộc ngữ	tʰuək˨ˀ˩ʔŋɯ˧˩˨
xắc cốt	săk˦˥kok͡p˦˥
bọ dừa	bɔ˨ˀ˩ʔjɯə˦˨
tuần duyên	twɤ̆ŋ˦˨jwiəŋ˧˥
duyên cá nước	jwiəŋ˧˥ka˩˧nɯək˦˥
so với	ʂɔ˧˥jɤj˩˧
bỏ bê	bɔ˧˩˨be˧˥
chân khớp	cɤ̆ŋ˧˥xɤp˦˥
bình thời	bin˦˨tʰɤj˦˨
lưới	lɯəj˩˧
thuê	tʰwe˧˥
trễ biếng	ʈe˧˩˨biəŋ˩˧
ni sư	ni˧˥ʂɯ˧˥
lai lịch	laj˧˥lit˨ˀ˩ʔ
ngắc	ŋăk˦˥
măng le	măŋ˧˥lɛ˧˥
chị dâu	ci˨ˀ˩ʔjɤ̆w˧˥
đào đắp	daw˦˨dăp˦˥
dạn dày	jaŋ˨ˀ˩ʔjăj˦˨
sột soạt	ʂok͡p˨ˀ˩ʔʂwak˨ˀ˩ʔ
thuỷ đông	tʰwi˧˩˨doŋ͡m˧˥
sinh quyền	ʂin˧˥wiɛŋ˦˨
thừa thế	tʰɯə˦˨tʰe˩˧
âu trang	ɤ̆w˧˥ʈaŋ˧˥
mua cười	muə˧˥kɯəj˦˨
giáo hoàng	jaw˩˧hwaŋ˦˨
hịch	hit˨ˀ˩ʔ
su su	ʂu˧˥ʂu˧˥
ám tiêu	am˩˧tiəw˧˥
mầm mống	mɤ̆m˦˨moŋ͡m˩˧
vảy bao hoa	jăj˧˩˨baw˧˥hwa˧˥
ngờ đâu	ŋɤ˦˨dɤ̆w˧˥
tân an thạnh	tɤ̆ŋ˧˥aŋ˧˥tʰan˨ˀ˩ʔ
phụ tố	fu˨ˀ˩ʔto˩˧
phốp pháp	fop˦˥fap˦˥
đàng cưa	daŋ˦˨kɯə˧˥
gắng gỏi	ɣăŋ˩˧ɣɔj˧˩˨
thị trường	tʰi˨ˀ˩ʔʈɯəŋ˦˨
sóng đôi	ʂɔŋ͡m˩˧doj˧˥
cực lực	kɯk˨ˀ˩ʔlɯk˨ˀ˩ʔ
trường thịnh	ʈɯəŋ˦˨tʰin˨ˀ˩ʔ
kết	ket˦˥
tân xuân	tɤ̆ŋ˧˥swɤ̆ŋ˧˥
bình giáo	bin˦˨jaw˩˧
muôn dặm	muəŋ˧˥jăm˨ˀ˩ʔ
sếu vườn	ʂɛu˩˧jɯəŋ˦˨
cứng	kɯŋ˩˧
súng cối	ʂuŋ͡m˩˧koj˩˧
cồn cỏ	koŋ͡m˦˨kɔ˧˩˨
tuyệt bút	twiək˨ˀ˩ʔbuk͡p˦˥
doãng	jwaŋ˧˩˨
xi-phông	si˧˥-foŋ͡m˧˥
kiêu căng	kiəw˧˥kăŋ˧˥
máy thu thanh	măj˩˧tʰu˧˥tʰan˧˥
oe oé	we˧˥we˩˧
lợn cợn	lɤŋ˨ˀ˩ʔkɤŋ˨ˀ˩ʔ
âm lịch	ɤ̆m˧˥lit˨ˀ˩ʔ
đổ dồn	do˧˩˨joŋ͡m˦˨
