麶	tʰi⁴⁴
查驗	t͡sa⁴⁴⁻²²ɡiam²²
艇	tʰiɪŋ⁵³
冬頭	taŋ⁴⁴⁻²²tʰaʊ²⁴
身上	ɕin⁴⁴⁻²²ɕiɔŋ²²
收斂	ɕiu⁴⁴⁻²²liam⁵³
蠣	le²²
疑	ɡi²⁴
王座	ɔŋ²⁴⁻²²t͡so²²
排污	paɪ²⁴⁻²²u⁴⁴
藥茶	ioʔ⁴⁻²¹te²⁴
菜蔬	t͡sʰaɪ²¹⁻⁵³sue⁴⁴
醫	i⁴⁴
半山腰	puã²¹⁻⁵³suã⁴⁴⁻²²io⁴⁴
框	kʰiɪŋ⁴⁴
樹立	su²²⁻²¹lip̚⁴
歷史學	liɪk̚⁴⁻³²su⁵³⁻⁴⁴hak̚⁴
歸屬感	kui⁴⁴⁻²²ɕiɔk̚⁴⁻³²kam⁵³
緬	biɛn²²
熱度	liɛt̚⁴⁻³²tɔ²²
平陽	piɪŋ²⁴⁻²²iũ²⁴
舉國	ki⁵³⁻⁴⁴kɔk̚³²
猶	aʔ³²
渴求	kʰat̚³²⁻⁴kiu²⁴
譀潲	ham²¹⁻⁵³ɕiaʊ²⁴
符號	hu²⁴⁻²²ho²²
糧食	niũ²⁴⁻²²ɕit̚⁴
時鐘墜	ɕi²⁴⁻²²t͡ɕiɪŋ⁴⁴⁻²²tui²²
薰	hun⁴⁴
詩意	ɕi⁴⁴⁻²²i²¹
賢哲	hiɛn²⁴⁻²²tiɛt̚³²
款	kʰuã⁵³
驚	kiɪŋ⁴⁴
紅毛塗	aŋ²⁴⁻²²mɔ̃²⁴⁻²²tʰɔ²⁴
枝	t͡ɕi⁴⁴
礃	t͡ɕiɔŋ⁵³
揭曉	kiɛt̚³²⁻⁴hiaʊ⁵³
通俗	tʰɔŋ⁴⁴⁻²²ɕiɔk̚⁴
紫荊	t͡ɕi⁵³⁻⁴⁴kiɪŋ⁴⁴
瓦窯	hia²²⁻²¹io²⁴
持續	t͡ɕʰi²⁴⁻²²ɕiɔk̚⁴
縫	hɔŋ²²
入手	lip̚⁴⁻³²t͡ɕʰiu⁵³
推倒	t͡ɕʰia⁴⁴⁻²²to⁵³
臭腥	t͡sʰaʊ²¹⁻⁵³t͡ɕʰĩ⁴⁴
繃	pĩ⁴⁴
無欲	bo²⁴⁻²²beʔ³²
鮫	kaʊ⁴⁴
酒糟鼻	t͡ɕiu⁵³⁻⁴⁴t͡saʊ⁴⁴⁻²²pʰĩ²²
鈔	t͡sʰa²¹
西屯	saɪ⁴⁴⁻²²tun²²
主見	t͡su⁵³⁻⁴⁴kiɛn²¹
入骨	lip̚⁴⁻³²kut̚³²
設防	ɕiɛt̚³²⁻⁴hɔŋ²⁴
民初	bin²⁴⁻²²t͡sʰɔ⁴⁴
東北角	taŋ⁴⁴⁻²²pak̚³²⁻⁴kak̚³²
安眠藥	an⁴⁴⁻²²bin²⁴⁻²²ioʔ⁴
珊瑚礁	san²²⁻²¹ɔ²⁴⁻²²t͡ɕiaʊ⁴⁴
新式	ɕin⁴⁴⁻²²ɕiɪk̚³²
運動鞋	un²²⁻²¹tɔŋ²²⁻²¹ue²⁴
母舅	bu⁵³⁻⁴⁴ku²²
聲響	ɕiã⁴⁴⁻²²hiɔŋ⁵³
拼命	piã²¹⁻⁵³miã²²
坊	hɔŋ⁵³
腰部	io⁴⁴⁻²²pɔ²²
膨大	pʰɔŋ²¹⁻⁵³tua²²
霓	ɡe²⁴
壓低	aʔ⁴⁻²¹ke²²
畫面	ui²²⁻²¹bin²²
磁	hui²⁴
閭	li²⁴
慘烈	t͡sʰam⁵³⁻⁴⁴liɛt̚⁴
藥片	ioʔ⁴⁻²¹pʰĩ²¹
所有者	sɔ⁵³⁻⁴⁴iu⁵³⁻⁴⁴t͡ɕia⁵³
棉花	mĩ²⁴⁻²²hue⁴⁴
噴頭	pʰun²¹⁻⁵³tʰaʊ²⁴
岑	t͡ɕim²⁴
生菜	t͡ɕʰĩ⁴⁴⁻²²t͡sʰaɪ²¹
繪	hue²²
食菜館	t͡ɕiaʔ⁴⁻²¹t͡sʰaɪ²¹⁻⁵³kuan⁵³
首	ɕiu⁵³
安康	an⁴⁴⁻²²kʰɔŋ⁴⁴
短刀	te⁵³⁻⁴⁴to⁴⁴
氣	kʰui²¹
韓國人	han²⁴⁻²²kɔk̚³²⁻⁴laŋ²⁴
敗火	paɪ²²⁻²¹he⁵³
層雲	t͡san²⁴⁻²²hun²⁴
開飯	kʰaɪ⁴⁴⁻²²huan²²
透	tʰɔ²¹
有幸	iu⁵³⁻⁴⁴hiɪŋ²²
規避	kui⁴⁴⁻²²pi²²
貓𡳞	niãʊ⁴⁴⁻²²lan²²
牛屎	ɡu²⁴⁻²²saɪ⁵³
遺容	ui²⁴⁻²²iɔŋ²⁴
下邊	e²²⁻²¹pĩ⁴⁴
准許	t͡sun⁵³⁻⁴⁴hu⁵³
箸籠	ti²²⁻²¹laŋ²²
鄉親	hiũ⁴⁴⁻²²t͡ɕʰin⁴⁴
默許	biɪk̚⁴⁻³²hu⁵³
鄭	tiɪŋ²²
關稅	kuan⁴⁴⁻²²se²¹
啞洽洽	e⁵³⁻⁴⁴kap̚⁴⁻³²kap̚⁴
陰暗	im⁴⁴⁻²²am²¹
淋水	lam²⁴⁻²²t͡sui⁵³
熱戀	d͡ʑiɛt̚⁴⁻³²luan²⁴
煏	piak̚³²
國樂團	kɔk̚³²⁻⁴ɡak̚⁴⁻³²tʰuan²⁴
移斡	i²⁴⁻²²uat̚³²
眼淚	ɡan⁵³⁻⁴⁴lui²²
淤血	u⁴⁴⁻²²huiʔ³²
臺山	taɪ²⁴⁻²²san⁴⁴
懷胎	huai²⁴⁻²²tʰaɪ⁴⁴
繳本	kiaʊ⁵³⁻⁴⁴pun⁵³
抹	buat̚⁴
守護	ɕiu⁵³⁻⁴⁴hɔ²²
專權	t͡suan⁴⁴⁻²²kʰuan²⁴
發癀	huat̚³²⁻⁴hɔŋ²⁴
貓潲	niãʊ⁴⁴⁻²²ɕiaʊ²⁴
正	t͡ɕiã²¹
尿帕	lio²²⁻²¹pʰe²¹
成語	ɕiɪŋ²⁴⁻²²ɡu⁵³
緊縮	kin⁵³⁻⁴⁴sɔk̚³²
高人	ko⁴⁴⁻²²d͡ʑin²⁴
何苦	ho²⁴⁻²²kʰɔ⁵³
阿姨	a⁴⁴⁻²²i²⁴
照亮	t͡ɕio²¹⁻⁵³liɔŋ²²
美軍	bi⁵³⁻⁴⁴kun⁴⁴
直爽	tit̚⁴⁻³²sɔŋ⁵³
水蟻	t͡sui⁵³⁻⁴⁴hia²²
儡	lui⁵³
紫禁城	t͡ɕi⁵³⁻⁴⁴kim²¹⁻⁵³ɕiã²⁴
江	kaŋ⁴⁴
氐	ti⁵³
紡	pʰaŋ⁵³
上焦	ɕiɔŋ²²⁻²¹t͡ɕiaʊ⁴⁴
福相	hɔk̚³²⁻⁴ɕiɔŋ²¹
牌照	paɪ²⁴⁻²²t͡ɕio²¹
扶掖	hu²⁴⁻²²iɪk̚⁴
妻子	t͡sʰe⁴⁴⁻²²t͡su⁵³
滒	ko²²
睋	ɡo²⁴
吐舌仔帽	tʰɔ²¹⁻⁵³t͡ɕiʔ⁴⁻²¹a⁵³⁻⁴⁴bo²²
擄	lɔ⁵³
大溪	taɪ²²⁻²¹kʰue⁴⁴
農村	lɔŋ²⁴⁻²²t͡sʰuan⁴⁴
跳字	tʰiaʊ²¹⁻⁵³li²²
設身處地	ɕiɛt̚³²⁻⁴ɕin⁴⁴⁻²²t͡sʰu²¹⁻⁵³te²²
遺風	ui²⁴⁻²²hɔŋ⁴⁴
革命性	kiɪk̚³²⁻⁴biɪŋ²²⁻²¹ɕiɪŋ²¹
應答	iɪŋ²¹⁻⁵³tap̚³²
回南天	he²⁴⁻²²lam²⁴⁻²²tʰĩ⁴⁴
新東	ɕin⁴⁴⁻²²taŋ⁴⁴
櫥窗	tu²⁴⁻²²tʰaŋ⁴⁴
稈	kuãi⁵³
取得	t͡ɕʰi⁵³⁻⁴⁴tiɪk̚³²
蜆仔	kan⁵³⁻⁴⁴a⁵³
文體	bun²⁴⁻²²tʰe⁵³
保險	po⁵³⁻⁴⁴hiam⁵³
墮天使	tui²²⁻²¹tʰĩ⁴⁴⁻²²saɪ²¹
端午	tuan⁴⁴⁻²²ŋɔ̃⁵³
依靠	i⁴⁴⁻²²kʰo²¹
手工	t͡ɕʰiu⁵³⁻⁴⁴kaŋ⁴⁴
輕工業	kʰin⁴⁴⁻²²kaŋ⁴⁴⁻²²ɡiap̚⁴
報知	po²¹⁻⁵³t͡saɪ⁴⁴
枸	kɔ⁴⁴
低溫	ke²²⁻²¹un⁴⁴
邊角	pĩ⁴⁴⁻²²kak̚³²
聚	t͡su²²
住屋	t͡su²²⁻²¹ɔk̚³²
劊	kue²¹
隔間	keʔ³²⁻⁵³kiɪŋ⁴⁴
瓜皮帽	kue⁴⁴⁻²²pʰue²⁴⁻²²bo²²
分鐘	hun⁴⁴⁻²²t͡ɕiɪŋ⁴⁴
荖	lo⁵³
豬	tu⁴⁴
頷胿	am²²⁻²¹kui⁴⁴
搬	pan⁴⁴
祖傳	t͡sɔ⁵³⁻⁴⁴tuan²⁴
喙脣皮	t͡sʰui²¹⁻⁵³tun²⁴⁻²²pʰe²⁴
觀音媽	kuan⁴⁴⁻²²im⁴⁴⁻²²mã⁵³
認購	lin²²⁻²¹kɔ²¹
族人	t͡sɔk̚⁴⁻³²lin²⁴
空降	kʰɔŋ⁴⁴⁻²²kaŋ²¹
深坑	t͡ɕʰim⁴⁴⁻²²kʰĩ⁴⁴
撫躬自問	bu⁵³⁻⁴⁴kiɔŋ⁴⁴⁻²²t͡su²²⁻²¹bun²²
精美	t͡ɕiɪŋ⁴⁴⁻²²bi⁵³
夥	hɔ̃⁵³
順當	sun²²⁻²¹tɔŋ²¹
年禮	nĩ²⁴⁻²²le⁵³
衷情	tʰiɔŋ⁴⁴⁻²²t͡ɕiɪŋ²⁴
葡萄柚	pʰu²⁴⁻²²to²⁴⁻²²iu²²
阿合	a⁴⁴⁻²²ɡaʔ³²
宇	u⁵³
悲慘	pi⁴⁴⁻²²t͡sʰam⁵³
風櫃	hɔŋ⁴⁴⁻²²kui²²
害蟲	haɪ²²⁻²¹tʰaŋ²⁴
火熱	he⁵³⁻⁴⁴liɛt̚⁴
惋惜	uan⁵³⁻⁴⁴ɕioʔ³²
南通	lam²⁴⁻²²tʰɔŋ⁴⁴
熱血	liɛt̚⁴⁻³²hiɛt̚³²
財團	t͡saɪ²⁴⁻²²tʰuan²⁴
鄂	ɡɔk̚⁴
山獐	suã⁴⁴⁻²²kiũ⁴⁴
藏	t͡sʰaŋ²¹
新陳代謝	ɕin⁴⁴⁻²²tin²⁴⁻²²taɪ²²⁻²¹ɕia²²
英才	iɪŋ⁴⁴⁻²²t͡saɪ²⁴
浮塵	pʰu²⁴⁻²²tin²⁴
老媌	laʊ²²⁻²¹ba²⁴
臨當時	liam²⁴⁻²²tɔŋ⁴⁴⁻²²ɕi²⁴
揪	t͡ɕiu⁴⁴
陝西	ɕiam⁵³⁻⁴⁴saɪ⁴⁴
敢著	kan⁴⁴⁻²²tioʔ⁴
大部拇	tua²²⁻²¹pɔ²²⁻²¹bu⁵³
添	tʰĩ⁴⁴
轉瞬	t͡suan⁵³⁻⁴⁴sun²¹
約書亞記	iɔk̚³²⁻⁴su⁴⁴⁻²²a⁴⁴⁻²²ki²¹
莊嚴	t͡sɔŋ⁴⁴⁻²²ɡiam²⁴
拜見	paɪ²¹⁻⁵³kiɛn²¹
拖延	tʰua⁴⁴⁻²²iɛn²⁴
光亮	kɔŋ⁴⁴⁻²²liaŋ²²
拓荒	tʰɔk̚³²⁻⁴hɔŋ⁴⁴
一再	it̚³²⁻⁴t͡saɪ²¹
緬	biɛn⁵³
螺鈿	le²⁴⁻²²tiɛn²²
拼湊	pʰiɪŋ²¹⁻⁵³t͡sʰɔ²¹
正途	t͡ɕiɪŋ²¹⁻⁵³tɔ²⁴
睃	so⁴⁴
信念	ɕin²¹⁻⁵³liam²²
妹	bue²²
歹癖	pʰãɪ⁵³⁻⁴⁴pʰiaʔ³²
滿四界	muã²⁴⁻²²ɕi²¹⁻⁵³kue²¹
驗	ɡiam²²
年初	nĩ⁴⁴⁻²²t͡sʰɔ⁴⁴
幹練	kan²¹⁻⁵³liɛn²²
滄海	t͡sʰɔŋ⁴⁴⁻²²haɪ⁵³
片底	pʰĩ²¹⁻⁵³tue⁵³
讚歌	t͡san²¹⁻⁵³ko⁴⁴
破病	pʰua²¹⁻⁵³pĩ²²
開倒車	kʰui⁴⁴⁻²²to⁵³⁻⁴⁴t͡ɕʰia⁴⁴
葬式	t͡sɔŋ²¹⁻⁵³ɕiɪk̚³²
徐州	su²⁴⁻²²t͡ɕiu⁴⁴
鳴放	biɪŋ²⁴⁻²²hɔŋ²¹
偽君子	ɡui²²⁻²¹kun⁴⁴⁻²²t͡su⁵³
高雄	ko⁴⁴⁻²²hiɔŋ²⁴
擴張	kʰɔk̚³²⁻⁴tiũ⁴⁴
卵包	nŋ̍²²⁻²¹paʊ⁴⁴
閩越	ban²⁴⁻²²uat̚⁴
國教	kɔk̚³²⁻⁴kaʊ²¹
假名	kʰa⁵³⁻⁴⁴nãʔ³²
中邪	tiɔŋ²¹⁻⁵³ɕia²⁴
代罪羔羊	taɪ²²⁻²¹t͡sue²²⁻²¹ko⁴⁴⁻²²iũ²⁴
選集	suan⁵³⁻⁴⁴t͡ɕip̚⁴
機油	ki⁴⁴⁻²²iu²⁴
攙	t͡sʰam⁴⁴
會合	hue²²⁻²¹hap̚⁴
人手	lin²⁴⁻²²t͡ɕʰiu⁵³
行宮	hiɪŋ²⁴⁻²²kiɔŋ⁴⁴
親族	t͡ɕʰin⁴⁴⁻²²t͡sɔk̚⁴
山空	suã⁴⁴⁻²²kʰaŋ⁴⁴
聲明	ɕiɪŋ⁴⁴⁻²²biɪŋ²⁴
甩	hiu²¹
鬚	t͡ɕʰiu⁴⁴
盎然	ɔŋ²¹⁻⁵³liɛn²⁴
飛機	hui⁴⁴⁻²²ki⁴⁴
擮調	t͡suaʔ⁴⁻²¹tiaʊ²²
盅	t͡ɕiɔŋ⁴⁴
摺紙	t͡ɕiʔ³²⁻⁵³t͡sua⁵³
諸母	t͡sa⁴⁴⁻²²bɔ⁵³
褙	pe²¹
莫斯科	bɔk̚⁴⁻³²su⁴⁴⁻²²kʰo⁴⁴
祠堂	ɕi²⁴⁻²²tŋ̍²⁴
雌雄	t͡sʰu²⁴⁻²²hiɔŋ²⁴
乃	nãɪ⁵³
棕索	t͡saŋ⁴⁴⁻²²soʔ³²
浮動	hu²⁴⁻²²tɔŋ²²
苦笑	kʰɔ⁵³⁻⁴⁴t͡ɕʰio²¹
紗帽	se⁴⁴⁻²²bo²²
劌	kui²¹
門巴族	bun²⁴⁻²²pa⁴⁴⁻²²t͡sɔk̚⁴
簡捷	kan⁵³⁻⁴⁴t͡ɕiap̚⁴
線條	suã²¹⁻⁵³tiaʊ²⁴
天花板	tʰiɛn⁴⁴⁻²²hua⁴⁴⁻²²pan⁵³
耳仔墘	hi²²⁻²¹a⁵³⁻⁴⁴kĩ²⁴
災情	t͡saɪ⁴⁴⁻²²t͡ɕiɪŋ²⁴
休假	hiu⁴⁴⁻²²ka⁵³
查詢	t͡sa²⁴⁻²²sun²⁴
西南	se⁴⁴⁻²²lam²⁴
尾指	be⁵³⁻⁴⁴t͡sãɪ⁵³
秤桿	t͡ɕʰin²¹⁻⁵³kuãi⁵³
攪絞	kiaʊ⁵³⁻⁴⁴ka⁵³
火罐	he⁵³⁻⁴⁴kuan²¹
稿紙	ko⁵³⁻⁴⁴t͡sua⁵³
冥想	biɪŋ²⁴⁻²²ɕiɔŋ⁵³
灌注	kuan²¹⁻⁵³t͡su²¹
味	bi²²
崗哨	kaŋ⁴⁴⁻²²saʊ²¹
雙層	ɕiaŋ⁴⁴⁻²²tiɪŋ²⁴
光合作用	kŋ̍⁴⁴⁻²²hap̚⁴⁻³²t͡sɔk̚³²⁻⁴iɔŋ²²
四十八	ɕi²¹⁻⁵³t͡sap̚⁴⁻³²pueʔ³²
日前	lit̚⁴⁻³²t͡ɕiɪŋ²⁴
劈刀	pʰiɪk̚³²⁻⁴to⁴⁴
花旗國	hua⁴⁴⁻²²ki²⁴⁻²²kɔk̚³²
芳名	hɔŋ⁴⁴⁻²²biɪŋ²⁴
馬腳	be⁵³⁻⁴⁴kʰa⁴⁴
沅	ɡuan²⁴
良緣	liɔŋ²⁴⁻²²iɛn²⁴
挽掣	ban⁵³⁻⁴⁴t͡sʰuaʔ³²
管理權	kuan⁵³⁻⁴⁴li⁵³⁻⁴⁴kuan²⁴
治理	ti²²⁻²¹li⁵³
集錄	t͡ɕip̚⁴⁻³²liɔk̚⁴
奶母	nĩ⁴⁴⁻²²bu⁵³
咯	kʰak̚⁴
新進	ɕin⁴⁴⁻²²t͡ɕin²¹
客體	kʰiɪk̚³²⁻⁴tʰe⁵³
但願	tan²¹⁻⁵³ɡuan²²
降幅	kaŋ²¹⁻⁵³hɔk̚³²
肉身	liɔk̚⁴⁻³²ɕin⁴⁴
天	tʰiɛn⁴⁴
假捌	ke⁵³⁻⁴⁴pat̚³²
天時	tʰĩ⁴⁴⁻²²ɕi²⁴
高燒	ko⁴⁴⁻²²ɕio⁴⁴
毅	ɡe²²
木耳	bɔk̚⁴⁻³²nĩ⁵³
駐地	t͡su²¹⁻⁵³tue²²
搗毀	taʊ⁵³⁻⁴⁴hui⁵³
言及	ɡiɛn²⁴⁻²²kip̚⁴
蠢笨	t͡sʰun⁵³⁻⁴⁴pun²²
慶	kʰiɪŋ²¹
隔	keʔ³²
撰頭	t͡suan²²⁻²¹tʰaʊ²⁴
腦部	nãʊ⁵³⁻⁴⁴pɔ²²
奪	tuaʔ⁴
斡正手	uat̚³²⁻⁴t͡ɕiã²¹⁻⁵³t͡ɕʰiu⁵³
民選	bin²⁴⁻²²suan⁵³
扒	pe²⁴
閼	at̚³²
靈柩	liɪŋ²⁴⁻²²kiu²²
大業	taɪ²²⁻²¹ɡiap̚⁴
作亂	t͡sɔk̚³²⁻⁴luan²²
語錄	ɡu⁵³⁻⁴⁴liɔk̚⁴
似	su²²
肥缺	pui²⁴⁻²²kʰuat̚³²
烏龜仔	ɔ⁴⁴⁻²²ku⁴⁴⁻²²a⁵³
猌神	ɡin²²⁻²¹ɕin²⁴
上饒	ɕiɔŋ²²⁻²¹d͡ʑiaʊ²⁴
彼岸	pi⁵³⁻⁴⁴ɡan²²
崖略	ɡaɪ²⁴⁻²²liɔk̚⁴
纂	t͡sʰuan²¹
缺欠	kʰueʔ³²⁻⁵³kʰiam²¹
倩工	t͡ɕʰiã²¹⁻⁵³kaŋ⁴⁴
流派	liu²⁴⁻²²pʰaɪ²¹
對仗	tui²¹⁻⁵³tiɔŋ²²
膠	kaʊ⁴⁴
石卵仔囝	t͡ɕioʔ⁴⁻²¹nŋ̍²²⁻²¹a⁵³⁻⁴⁴kiã⁵³
偷食	tʰaʊ⁴⁴⁻²²t͡ɕiaʔ⁴
至尊	t͡ɕi²¹⁻⁵³t͡sun⁴⁴
衷腸	tʰiɔŋ⁴⁴⁻²²tiɔŋ²⁴
獨家	tɔk̚⁴⁻³²ka⁴⁴
日月潭	lit̚⁴⁻³²ɡuat̚⁴⁻³²tʰam²⁴
底片	tue⁵³⁻⁴⁴pʰĩ²¹
譴	kʰiɛn²¹
善	ɕiɛn²²
鱧	le⁵³
話說	ue²²⁻²¹sueʔ³²
靛	tiɛn²²
避暑	pi²²⁻²¹su⁵³
貨主	hue²¹⁻⁵³t͡su⁵³
紫羅蘭	t͡ɕi⁵³⁻⁴⁴lo²⁴⁻²²lan²⁴
息事寧人	ɕiɪk̚³²⁻⁴su²²⁻²¹liɪŋ²⁴⁻²²d͡ʑin²⁴
炎熱	iam²²⁻²¹luaʔ⁴
半遂	piɛn²¹⁻⁵³sui²²
思念	su⁴⁴⁻²²liam²²
躕	tu²⁴
衝破	t͡ɕʰiɔŋ⁴⁴⁻²²pʰua²¹
度假	tɔ²²⁻²¹ka⁵³
漫	buan²²
嘹	liaʊ²⁴
組閣	t͡sɔ⁴⁴⁻²²koʔ³²
老大人	laʊ²²⁻²¹tua²²⁻²¹laŋ²⁴
相熟	ɕiɔŋ⁴⁴⁻²²ɕiɪk̚⁴
木香	bɔk̚⁴⁻³²hiɔŋ⁴⁴
獨立	tɔk̚⁴⁻³²lip̚⁴
憂愁	iu⁴⁴⁻²²t͡sʰɔ²⁴
草創	t͡sʰo⁵³⁻⁴⁴t͡sʰɔŋ²¹
從嚴	t͡ɕiɔŋ²⁴⁻²²ɡiam²⁴
聳肩	ɕiɔŋ⁵³⁻⁴⁴kiɪŋ⁴⁴
盤數	puã²⁴⁻²²ɕiaʊ²¹
吊帶	tiaʊ²¹⁻⁵³tua²¹
倒手雞	to²¹⁻⁵³t͡ɕʰiu⁵³⁻⁴⁴kue⁴⁴
㾪田	san⁵³⁻⁴⁴t͡sʰan²⁴
利潤	li²²⁻²¹lun²²
芒	bɔŋ²⁴
通順	tʰɔŋ⁴⁴⁻²²sun²²
種	t͡ɕiɪŋ⁵³
顧問	kɔ²¹⁻⁵³bun²²
手模	t͡ɕʰiu⁵³⁻⁴⁴bɔ²⁴
直弄宋	tit̚⁴⁻³²lɔŋ²¹⁻⁵³sɔŋ²¹
穢	e²¹
猁	li²²
紙漿	t͡sua⁵³⁻⁴⁴t͡ɕiũ⁴⁴
尊貴	t͡sun⁴⁴⁻²²kui²¹
上代	ɕiɔŋ²²⁻²¹taɪ²²
盧德傳	lɔ²⁴⁻²²tiɪk̚³²⁻⁴tuan²²
毛線	mɔ̃²⁴⁻²²suã²¹
侍從	su²²⁻²¹t͡ɕiɔŋ²⁴
美容院	bi⁵³⁻⁴⁴iɔŋ²⁴⁻²²ĩ²²
米糧	bi⁵³⁻⁴⁴niũ²⁴
寧靜	liɪŋ²⁴⁻²²t͡ɕiɪŋ²²
閩劇	ban²⁴⁻²²kiɔk̚⁴
趁流水	tʰan²¹⁻⁵³laʊ²⁴⁻²²t͡sui⁵³
遠處	uan⁵³⁻⁴⁴t͡sʰu²¹
豫	u²²
內海	laɪ²²⁻²¹haɪ⁵³
癌	ɡam²⁴
羞	ɕiu⁴⁴
上天	ɕiɔŋ²²⁻²¹tʰiɛn⁴⁴
湛	ɕim²⁴
平凡	piɪŋ²⁴⁻²²huan²⁴
雞摸	kue⁴⁴⁻²²bɔŋ⁴⁴
下課	ha²²⁻²¹kʰo²¹
定購	tiɪŋ²²⁻²¹kɔ²¹
荷蘭人	ho²⁴⁻²²lan²⁴⁻²²laŋ²⁴
贛語	kam²¹⁻⁵³ɡu⁵³
單方面	tan⁴⁴⁻²²hɔŋ⁴⁴⁻²²bin²²
硬	ɡiɪŋ²²
姜	kʰiɔŋ⁴⁴
揮動	hui⁴⁴⁻²²tɔŋ²²
妙方	biaʊ²²⁻²¹hɔŋ⁴⁴
舷	kĩ²⁴
頭巾	tʰaʊ²⁴⁻²²kun⁴⁴
福星	hɔk̚³²⁻⁴t͡ɕʰĩ⁴⁴
肩胛	kiɪŋ⁴⁴⁻²²kaʔ³²
糴	tiɪk̚⁴
驢	lu²⁴
白俄羅斯	peʔ⁴⁻²¹ɡo²⁴⁻²²lo²⁴⁻²²su⁴⁴
好兄弟	ho⁵³⁻⁴⁴hiã⁴⁴⁻²²ti²²
蝴	ɔ²⁴
米價	bi⁵³⁻⁴⁴ke²¹
斧	pɔ⁵³
西部	saɪ⁴⁴⁻²²pɔ²²
只見	t͡ɕi⁵³⁻⁴⁴kiɛn²¹
盆栽	pʰun²⁴⁻²²t͡saɪ⁴⁴
不宜	put̚³²⁻⁴ɡi²⁴
己	ki²²
鑲嵌	ɕiɔŋ⁴⁴⁻²²kam²¹
助贈	t͡sɔ²²⁻²¹t͡san²²
佛境	hut̚⁴⁻³²kiɪŋ⁵³
羔	ko⁴⁴
蓋	kua²¹
硬性	ŋĩ²²⁻²¹ɕiɪŋ²¹
進軍	t͡ɕin²¹⁻⁵³kun⁴⁴
祝壽	t͡ɕiɔk̚³²⁻⁴ɕiu²²
叮嚀	tiɪŋ⁴⁴⁻²²liɪŋ²⁴
排字	paɪ²⁴⁻²²li²²
競渡	kiɪŋ²¹⁻⁵³tɔ²²
露天	lɔ²²⁻²¹tʰiɛn⁴⁴
搬遷	puã⁴⁴⁻²²t͡ɕʰiɛn⁴⁴
田	t͡sʰan²⁴
囂張	hiaʊ⁴⁴⁻²²tiɔŋ⁴⁴
南區	lam²⁴⁻²²kʰu⁴⁴
齒根	kʰi⁵³⁻⁴⁴kun⁴⁴
滑冰	kut̚⁴⁻³²piɪŋ⁴⁴
聽	tʰiɪŋ²¹
地處	tue²²⁻²¹t͡sʰu²¹
傳講	tʰuan²⁴⁻²²kaŋ⁵³
澀	ɕiap̚³²
蠻橫	ban²⁴⁻²²hiɪŋ²⁴
螺絲釘	lɔ²⁴⁻²²ɕi⁴⁴⁻²²tiɪŋ⁴⁴
詞曲	su²⁴⁻²²kʰiɪk̚³²
留話	laʊ²⁴⁻²²ue²²
詆	ti⁵³
懈	haɪ²²
灇水	t͡ɕʰiaŋ²⁴⁻²²t͡sui⁵³
縱火	t͡ɕʰiɔŋ²¹⁻⁵³hɔ̃⁵³
劍	kiam²¹
殉難	sun²²⁻²¹lan²²
齊齊	t͡ɕiaʊ²⁴⁻²²t͡ɕiaʊ²⁴
碼子	be⁵³⁻⁴⁴t͡ɕi⁵³
配飯	pʰe²¹⁻⁵³pŋ̍²²
海龜	haɪ⁵³⁻⁴⁴ku⁴⁴
美好	bi⁵³⁻⁴⁴ho⁵³
戀情	luan²⁴⁻²²t͡ɕiɪŋ²⁴
軍墾	kun⁴⁴⁻²²kun⁵³
東晉	tɔŋ⁴⁴⁻²²t͡ɕin²¹
方案	hɔŋ⁴⁴⁻²²an²¹
漁利	ɡu²⁴⁻²²li²²
研究會	ɡiɪŋ⁵³⁻⁴⁴kiu²¹⁻⁵³hue²²
凌晨	liɪŋ²⁴⁻²²ɕin²⁴
穿	t͡sʰŋ̍⁴⁴
山火	suã⁴⁴⁻²²hue⁵³
磚	t͡sŋ̍⁴⁴
兢	kiɪŋ⁴⁴
謀職	bɔ²⁴⁻²²t͡ɕit̚³²
差誤	t͡sʰa⁴⁴⁻²²ŋɔ̃²²
拖磨	tʰua⁴⁴⁻²²bua²⁴
七孔	t͡ɕʰit̚³²⁻⁴kʰɔŋ⁵³
段落	tuã²²⁻²¹loʔ⁴
痟狗湧	ɕiaʊ⁵³⁻⁴⁴kaʊ⁵³⁻⁴⁴iɪŋ⁵³
𣹇淺	kʰua²¹⁻⁵³t͡ɕʰiɛn⁵³
還債	hiɪŋ²⁴⁻²²t͡se²¹
金邊	kim⁴⁴⁻²²piɛn⁴⁴
辭生	ɕĩ²⁴⁻²²ɕĩ⁴⁴
輊	t͡ɕi²¹
到期	kaʊ²¹⁻⁵³ki²⁴
得以	tiɪk̚³²⁻⁴i⁵³
複寫紙	hɔk̚⁴⁻³²ɕia⁵³⁻⁴⁴t͡sua⁵³
熱氣	liɛt̚⁴⁻³²kʰi²¹
後腳	aʊ²²⁻²¹kʰa⁴⁴
落衰	loʔ⁴⁻²¹sue⁴⁴
盲文	bɔŋ²⁴⁻²²bun²⁴
齊聲	t͡sue²⁴⁻²²ɕiã⁴⁴
邪氣	ɕia²⁴⁻²²kʰi²¹
是誰	t͡ɕi²²⁻²¹t͡sui²²
盲目	bɔŋ²⁴⁻²²bɔk̚⁴
力	lat̚⁴
