'COS	kˈəz
SOMETHING	sˈɐmθɪŋ
SOMETIME	sˈɐmtˌaɪm
SOMETIMES(1)	səmtˈaɪmz
SOMETIMES(2)	sˈɐmtˌaɪmz
SOMEWHAT	sˌɐmwˈɒt
SOMEWHERE	sˈɐmwˌɛə
SON	sˈɐn
SONAR	sˈəʊnɑː
SONG	sˈɒŋ
SONGS	sˈɒŋz
SONIC	sˈɒnɪk
SONS	sˈɐnz
SONY	sˈəʊni
SOON	sˈuːn
SOONER	sˈuːnə
SOONEST	sˈuːnɪst
SOOT	sˈuːt
SOPHIE	sˈəʊfi
SOPHISTICATED	səfˈɪstɪkˌeɪtɪd
SOPPY	sˈɒpi
SORE	sˈɔː
SORROW	sˈɒɹəʊ
SORRY	sˈɒɹi
SORT	sˈɔːt
SORTED	sˈɔːtɪd
SORTING	sˈɔːtɪŋ
SORTS	sˈɔːts
SOUGHT	sˈɔːt
SOUL	sˈəʊl
SOULS	sˈəʊlz
SOUND	sˈaʊnd
SOUNDED	sˈaʊndɪd
SOUNDS	sˈaʊndz
SOUNDTRACK	sˈaʊndtɹˌæk
SOUP	sˈuːp
SOUR	sˈaʊə
SOURCE	sˈɔːs
SOURCES	sˈɔːsɪz
SOUTH	sˈaʊθ
SOUTH-EAST	sˌaʊθˈiːst
SOUTH-WEST	sˌaʊθwˈɛst
SOUTHAMPTON	saʊθhˈæmptən
SOUTHEAST	sˌaʊθˈiːst
SOUTHEND	sˌaʊθˈɛnd
SOUTHERN	sˈɐðən
SOUTHWARK	sˈɐðək
SOUTHWEST	sˌaʊθwˈɛst
SOUVENIR(1)	sˈuːvənˌɪə
SOUVENIR(2)	sˌuːvənˈɪə
SOVEREIGN	sˈɒvɹɪn
SOVEREIGNTY	sˈɒvɹɪnti
SOVIET	sˈəʊvɪət
SOW(1)	sˈəʊ
SOW(2)	sˈaʊ
SOWED	sˈəʊd
SOWN	sˈəʊn
SOX	sˈɒks
SPA	spˈɑː
SPACE	spˈeɪs
SPACECRAFT	spˈeɪskɹˌɑːft
SPACES	spˈeɪsɪz
SPADE	spˈeɪd
SPAGHETTI	spəgˈɛti
SPAIN	spˈeɪn
SPAM	spˈæm
SPAN	spˈæn
SPANISH	spˈænɪʃ
SPANK	spˈæŋk
SPANKING	spˈæŋkɪŋ
SPANS	spˈænz
SPAR	spˈɑː
SPARE	spˈɛə
SPARK	spˈɑːk
SPARKS	spˈɑːks
SPAS	spˈɑːz
SPASM	spˈæzəm
SPAT	spˈæt
SPATE	spˈeɪt
SPATIAL	spˈeɪʃəl
SPAWN	spˈɔːn
SPEAK	spˈiːk
SPEAKER	spˈiːkə
SPEAKERS	spˈiːkəz
SPEAKING	spˈiːkɪŋ
SPEAKS	spˈiːks
SPEAR	spˈɪə
SPEARS	spˈɪəz
SPEC	spˈɛk
SPECIAL	spˈɛʃəl
SPECIALISE	spˈɛʃəlˌaɪz
SPECIALISED	spˈɛʃəlˌaɪzd
SPECIALIST	spˈɛʃəlɪst
SPECIALISTS	spˈɛʃəlɪsts
SPECIALITY	spˌɛʃɪˈælɪti
SPECIALIZE	spˈɛʃəlˌaɪz
SPECIALIZED	spˈɛʃəlˌaɪzd
SPECIALIZING	spˈɛʃəlˌaɪzɪŋ
SPECIALLY(1)	spˈɛʃli
SPECIALLY(2)	spˈɛʃəli
SPECIALS	spˈɛʃəlz
SPECIALTIES	spˈɛʃəltiz
SPECIALTY	spˈɛʃəlti
SPECIES	spˈiːʃiz
SPECIFIC	spɪsˈɪfɪk
SPECIFICALLY	spɪsˈɪfɪkli
SPECIFICATION	spˌɛsɪfɪkˈeɪʃən
SPECIFICATIONS	spˌɛsɪfɪkˈeɪʃənz
SPECIFICS	spɪsˈɪfɪks
SPECIFIED	spˈɛsɪfˌaɪd
SPECIFIES	spˈɛsɪfˌaɪz
SPECIFY	spˈɛsɪfˌaɪ
SPECIMEN	spˈɛsɪmən
SPECIMENS	spˈɛsɪmənz
SPECK	spˈɛk
SPECS	spˈɛks
SPECTACLE	spˈɛktəkəl
SPECTACULAR	spɛktˈækjʊlə
SPECTATOR	spɛktˈeɪtə
SPECTATORS	spɛktˈeɪtəz
SPECTRA	spˈɛktɹə
SPECTRUM	spˈɛktɹəm
SPECULATION	spˌɛkjʊlˈeɪʃən
SPED	spˈɛd
SPEECH	spˈiːtʃ
SPEECHES	spˈiːtʃɪz
SPEED	spˈiːd
SPEEDED	spˈiːdɪd
SPEEDS	spˈiːdz
SPELL	spˈɛl
SPELLED	spˈɛld
SPELLING	spˈɛlɪŋ
SPELLINGS	spˈɛlɪŋz
SPELT	spˈɛlt
SPENCER	spˈɛnsə
SPENCERS	spˈɛnsəz
SPEND	spˈɛnd
SPENDING	spˈɛndɪŋ
SPENDS	spˈɛndz
SPENT	spˈɛnt
SPERM	spˈɜːm
SPEW	spjˈuː
SPHERE	sfˈɪə
SPICE	spˈaɪs
SPICY	spˈaɪsi
SPIDER	spˈaɪdə
SPIES	spˈaɪz
SPIKE	spˈaɪk
SPILL	spˈɪl
SPILLED	spˈɪld
SPILT	spˈɪlt
SPIN	spˈɪn
SPINAL	spˈaɪnəl
SPINE	spˈaɪn
SPIRAL	spˈaɪəɹəl
SPIRE	spˈaɪə
SPIRIT	spˈɪɹɪt
SPIRITS	spˈɪɹɪts
SPIRITUAL	spˈɪɹɪtʃjʊəl
SPIRITUALITY	spˌɪɹɪtʃʊˈælɪti
SPIT	spˈɪt
SPITE	spˈaɪt
SPLASH	splˈæʃ
SPLAT	splˈæt
SPLATTER	splˈætə
SPLAY	splˈeɪ
SPLENDID	splˈɛndɪd
SPLICE	splˈaɪs
SPLIT	splˈɪt
SPOIL	spˈɔɪl
SPOILED	spˈɔɪld
SPOILT	spˈɔɪlt
SPOKE	spˈəʊk
SPOKEN	spˈəʊkən
SPOKESMAN	spˈəʊksmən
SPOKESMEN	spˈəʊksmən
SPONGE	spˈɐndʒ
SPONSOR	spˈɒnsə
SPONSORED	spˈɒnsəd
SPONSORS	spˈɒnsəz
SPONSORSHIP	spˈɒnsəʃˌɪp
SPONTANEOUS	spɒntˈeɪnɪəs
SPOOF	spˈuːf
SPOOK	spˈuːk
SPOOKY	spˈuːki
SPOOL	spˈuːl
SPOON	spˈuːn
SPORADIC	spəɹˈædɪk
SPORE	spˈɔː
SPORT	spˈɔːt
SPORTING	spˈɔːtɪŋ
SPORTS	spˈɔːts
SPOT	spˈɒt
SPOTLIGHT	spˈɒtlˌaɪt
SPOTS	spˈɒts
SPOTTED	spˈɒtɪd
SPOUSE	spˈaʊs
SPOUT	spˈaʊt
SPRANG	spɹˈæŋ
SPRAY	spɹˈeɪ
SPREAD	spɹˈɛd
SPREADING	spɹˈɛdɪŋ
SPREADSHEET	spɹˈɛdʃˌiːt
SPREE	spɹˈiː
SPRING	spɹˈɪŋ
SPRINGER	spɹˈɪŋə
SPRINGFIELD	spɹˈɪŋfˌiːld
SPRINGS	spɹˈɪŋz
SPRINT	spɹˈɪnt
SPROUTS	spɹˈaʊts
SPRUNG	spɹˈɐŋ
SPUDS	spˈɐdz
SPUN	spˈɐn
SPUNK	spˈɐŋk
SPUR	spˈɜː
SPURN	spˈɜːn
SPURS	spˈɜːz
SPURT	spˈɜːt
SPY	spˈaɪ
SPYWARE	spˈaɪwˌɛə
SQUAD	skwˈɒd
SQUADRON	skwˈɒdɹən
SQUADRONS	skwˈɒdɹənz
SQUALL	skwˈɔːl
SQUARE	skwˈɛə
SQUARED	skwˈɛəd
SQUARES	skwˈɛəz
SQUASH	skwˈɒʃ
SQUAT	skwˈɒt
SQUAWK	skwˈɔːk
SQUEEZE	skwˈiːz
SQUELCH	skwˈɛltʃ
SQUID	skwˈɪd
SQUIRREL	skwˈɪɹəl
SQUIRT	skwˈɜːt
SQUIRTING	skwˈɜːtɪŋ
SRI_LANKA	sɹˌiːlˈæŋkə
STAB	stˈæb
STABBED	stˈæbd
STABILISE	stˈeɪbɪlˌaɪz
STABILITY	stəbˈɪlɪti
STABILIZE	stˈeɪbɪlˌaɪz
STABLE	stˈeɪbəl
STACEY	stˈeɪsi
STACK	stˈæk
STADIA	stˈeɪdɪə
STADIUM	stˈeɪdɪəm
STAFF	stˈɑːf
STAFFING	stˈɑːfɪŋ
STAFFORDSHIRE	stˈæfədʃə
STAFFS	stˈɑːfs
STAG	stˈæg
STAGE	stˈeɪdʒ
STAGES	stˈeɪdʒɪz
STAIN	stˈeɪn
STAINLESS	stˈeɪnlɪs
STAIR	stˈɛə
STAIRCASE	stˈɛəkˌeɪs
STAIRS	stˈɛəz
STAKE	stˈeɪk
STAKEHOLDERS	stˈeɪkhˌəʊldəz
STALE	stˈeɪl
STALK	stˈɔːk
STALL	stˈɔːl
STAMINA	stˈæmɪnə
STAMP	stˈæmp
STAMPS	stˈæmps
STANCE	stˈɑːns
STAND	stˈænd
STANDARD	stˈændəd
STANDARDISE	stˈændədˌaɪz
STANDARDIZE	stˈændədˌaɪz
STANDARDS	stˈændədz
STANDBY	stˈændbˌaɪ
STANDING	stˈændɪŋ
STANDINGS	stˈændɪŋz
STANDS	stˈændz
STANFORD	stˈænfəd
STANK	stˈæŋk
STANLEY	stˈænli
STAPLE	stˈeɪpəl
STAR	stˈɑː
STARE	stˈɛə
STARED	stˈɛəd
STARING	stˈɛəɹɪŋ
STARK	stˈɑːk
STARRING	stˈɑːɹɪŋ
STARS	stˈɑːz
START	stˈɑːt
STARTED	stˈɑːtɪd
STARTER	stˈɑːtə
STARTERS	stˈɑːtəz
STARTING	stˈɑːtɪŋ
STARTS	stˈɑːts
STARTUP	stˈɑːtˌɐp
STARVE	stˈɑːv
STARVING	stˈɑːvɪŋ
STASH	stˈæʃ
STAT	stˈæt
STATE	stˈeɪt
STATED	stˈeɪtɪd
STATEMENT	stˈeɪtmənt
STATEMENTS	stˈeɪtmənts
STATES	stˈeɪts
STATEWIDE	stˈeɪtwˌaɪd
STATIC	stˈætɪk
STATING	stˈeɪtɪŋ
STATION	stˈeɪʃən
STATIONERY	stˈeɪʃənəɹi
STATIONS	stˈeɪʃənz
STATISTICAL	stətˈɪstɪkəl
STATISTICALLY	stətˈɪstɪkli
STATISTICS	stətˈɪstɪks
STATS	stˈæts
STATUE(1)	stˈætʃuː
STATUE(2)	stˈætjuː
STATUS	stˈeɪtəs
STATUSES	stˈeɪtəsɪz
STATUTE	stˈætʃuːt
STATUTES	stˈætʃuːts
STATUTORY	stˈætʃʊtəɹi
STAVE	stˈeɪv
STAVED	stˈeɪvd
STAVES	stˈeɪvz
STAY	stˈeɪ
STAYED	stˈeɪd
STAYING	stˈeɪɪŋ
STAYS	stˈeɪz
STEADILY	stˈɛdɪli
STEADY	stˈɛdi
STEAK	stˈeɪk
STEAL	stˈiːl
STEALING	stˈiːlɪŋ
STEALTH	stˈɛlθ
STEAM	stˈiːm
STEEL	stˈiːl
STEEP	stˈiːp
STEER	stˈɪə
STEERING	stˈɪəɹɪŋ
STELLAR	stˈɛlə
STEM	stˈɛm
STEP	stˈɛp
STEPHANIE	stˈɛfəni
STEPHEN	stˈiːvən
STEPPED	stˈɛpt
STEPS	stˈɛps
STEREO	stˈɛɹɪˌəʊ
STEREOTYPE(1)	stˈɛɹɪətˌaɪp
STEREOTYPE(2)	stˈɪəɹɪətˌaɪp
STERLING	stˈɜːlɪŋ
STERN	stˈɜːn
STEVE	stˈiːv
STEVEN	stˈiːvən
STEVENS	stˈiːvənz
STEW	stjˈuː
STEWARD	stjˈʊəd
STEWARDS	stjˈʊədz
STEWART	stjˈʊət
STEYNING	stˈɛnɪŋ
STICK	stˈɪk
STICKER	stˈɪkə
STICKERS	stˈɪkəz
STICKING	stˈɪkɪŋ
STICKLER	stˈɪklə
STICKS	stˈɪks
STICKY	stˈɪki
STIFF	stˈɪf
STIFLE	stˈaɪfəl
STIGMA	stˈɪgmə
STILE	stˈaɪl
STILL	stˈɪl
STILT	stˈɪlt
STILTS	stˈɪlts
STIMULATE	stˈɪmjʊlˌeɪt
STIMULATION	stˌɪmjʊlˈeɪʃən
STIMULI	stˈɪmjʊlˌaɪ
STIMULUS	stˈɪmjʊləs
STING	stˈɪŋ
STINK	stˈɪŋk
STINKS	stˈɪŋks
STINT	stˈɪnt
STIR	stˈɜː
STIRLING	stˈɜːlɪŋ
STITCH	stˈɪtʃ
STITCHES	stˈɪtʃɪz
STOCHASTIC	stɒkˈæstɪk
STOCK	stˈɒk
STOCKHOLM	stˈɒkhˌəʊm
STOCKINGS	stˈɒkɪŋz
STOCKPORT	stˈɒkpˌɔːt
STOCKS	stˈɒks
STOKE	stˈəʊk
STOKE-ON-TRENT	stˌəʊkɒntɹˈɛnt
STOLE	stˈəʊl
STOLEN	stˈəʊlən
STOMACH	stˈɐmək
STOMP	stˈɒmp
STONE	stˈəʊn
STONES	stˈəʊnz
STONY	stˈəʊni
STOOD	stˈʊd
STOOL	stˈuːl
STOOP	stˈuːp
STOP	stˈɒp
STOPPED	stˈɒpt
STOPPING	stˈɒpɪŋ
STOPS	stˈɒps
STORAGE	stˈɒɹɪdʒ
STORE	stˈɔː
STORED	stˈɔːd
STORES	stˈɔːz
STORIES	stˈɔːɹiz
STORK	stˈɔːk
STORM	stˈɔːm
STORMY	stˈɔːmi
STORY	stˈɔːɹi
STOUT	stˈaʊt
STOVE	stˈəʊv
STOW	stˈəʊ
STOWAWAY	stˈəʊəwˌeɪ
STRAIGHT	stɹˈeɪt
STRAIGHTEN	stɹˈeɪtən
STRAIGHTFORWARD	stɹˌeɪtfˈɔːwəd
STRAIN	stɹˈeɪn
STRAND	stɹˈænd
STRANDS	stɹˈændz
STRANGE	stɹˈeɪndʒ
STRANGELY	stɹˈeɪndʒli
STRANGER	stɹˈeɪndʒə
STRANGERS	stɹˈeɪndʒəz
STRAP	stɹˈæp
STRAPS	stɹˈæps
STRATEGIC	stɹətˈiːdʒɪk
STRATEGIES	stɹˈætɪdʒiz
STRATEGY	stɹˈætɪdʒi
STRATFORD	stɹˈætfəd
STRAW	stɹˈɔː
STRAWBERRIES	stɹˈɔːbəɹiz
STRAWBERRY	stɹˈɔːbəɹi
STRAY	stɹˈeɪ
STREAK	stɹˈiːk
STREAM	stɹˈiːm
STREAMING	stɹˈiːmɪŋ
STREAMS	stɹˈiːmz
STREATHAM	stɹˈɛtəm
STREET	stɹˈiːt
STREETS	stɹˈiːts
STRENGTH(1)	stɹˈɛŋθ
STRENGTH(2)	stɹˈɛŋkθ
STRENGTHEN	stɹˈɛŋθən
STRENGTHENING	stɹˈɛŋθənɪŋ
STRENGTHS(1)	stɹˈɛŋθs
STRENGTHS(2)	stɹˈɛŋkθs
STRESS	stɹˈɛs
STRESSED	stɹˈɛst
STRETCH	stɹˈɛtʃ
STRETCHED	stɹˈɛtʃt
STRETCHING	stɹˈɛtʃɪŋ
STREW	stɹˈuː
STREWED	stɹˈuːd
STREWN	stɹˈuːn
STRICKEN	stɹˈɪkən
STRICT	stɹˈɪkt
STRICTLY	stɹˈɪktli
STRIDDEN	stɹˈɪdən
STRIDE	stɹˈaɪd
STRIDENT	stɹˈaɪdənt
STRIKE	stɹˈaɪk
STRIKER	stɹˈaɪkə
STRIKES	stɹˈaɪks
STRIKING	stɹˈaɪkɪŋ
STRING	stɹˈɪŋ
STRINGS	stɹˈɪŋz
STRIP	stɹˈɪp
STRIPE	stɹˈaɪp
STRIPES	stɹˈaɪps
STRIPS	stɹˈɪps
STRIVE	stɹˈaɪv
STRIVED	stɹˈaɪvd
STRIVEN	stɹˈɪvən
STRODE	stɹˈəʊd
STROKE	stɹˈəʊk
STROLL	stɹˈəʊl
STRONG	stɹˈɒŋ
STRONGER	stɹˈɒŋgə
STRONGEST	stɹˈɒŋgɪst
STRONGLY	stɹˈɒŋli
STROVE	stɹˈəʊv
STRUCK	stɹˈɐk
STRUCTURAL	stɹˈɐktʃəɹəl
STRUCTURE	stɹˈɐktʃə
STRUCTURED	stɹˈɐktʃəd
STRUCTURES	stɹˈɐktʃəz
STRUGGLE	stɹˈɐgəl
STRUGGLED	stɹˈɐgəld
STRUGGLING	stɹˈɐglɪŋ
STRUNG	stɹˈɐŋ
STRUT	stɹˈɐt
STUART	stjˈʊət
STUB	stˈɐb
STUBBORN	stˈɐbən
STUCK	stˈɐk
STUD	stˈɐd
STUDDED	stˈɐdɪd
STUDENT	stjˈuːdənt
STUDENTS	stjˈuːdənts
STUDIED	stˈɐdid
STUDIES	stˈɐdiz
STUDIO	stjˈuːdɪˌəʊ
STUDIOS	stjˈuːdɪˌəʊz
STUDY	stˈɐdi
STUDYING	stˈɐdiɪŋ
STUFF	stˈɐf
STUFFED	stˈɐft
STUMBLE	stˈɐmbəl
STUMP	stˈɐmp
STUN	stˈɐn
STUNG	stˈɐŋ
STUNK	stˈɐŋk
STUNNING	stˈɐnɪŋ
STUNT	stˈɐnt
STUPID	stjˈuːpɪd
STURDY	stˈɜːdi
STYLE	stˈaɪl
STYLES	stˈaɪlz
STYLISH	stˈaɪlɪʃ
STYLUS	stˈaɪləs
SUB	sˈɐb
SUBARU	sʊbˈɑːɹuː
SUBCOMMITTEE	sˈɐbkəmˌɪti
SUBCONSCIOUS	sɐbkˈɒnʃəs
SUBDIVISION	sˈɐbdɪvˌɪʒən
SUBJECT(1)	səbdʒˈɛkt
SUBJECT(2)	sˈɐbdʒɪkt
SUBJECTED	səbdʒˈɛktɪd
SUBJECTIVE	səbdʒˈɛktɪv
SUBJECTS(1)	səbdʒˈɛkts
SUBJECTS(2)	sˈɐbdʒɪkts
SUBLIME	səblˈaɪm
SUBMISSION	səbmˈɪʃən
SUBMISSIONS	səbmˈɪʃənz
SUBMIT	səbmˈɪt
SUBMITTED	səbmˈɪtɪd
SUBMITTING	səbmˈɪtɪŋ
SUBSCRIBE	səbskɹˈaɪb
SUBSCRIBER	səbskɹˈaɪbə
SUBSCRIBERS	səbskɹˈaɪbəz
SUBSCRIPTION	səbskɹˈɪpʃən
SUBSCRIPTIONS	səbskɹˈɪpʃənz
SUBSECTION	sˈɐbsɛkʃən
SUBSEQUENT	sˈɐbsɪkwənt
SUBSEQUENTLY	sˈɐbsɪkwəntli
SUBSET	sˈɐbsˌɛt
SUBSIDIARIES	səbsˈɪdɪəɹiz
SUBSIDIARY	səbsˈɪdɪəɹi
SUBSIDIES	sˈɐbsɪdiz
SUBSIDY	sˈɐbsɪdi
SUBSTANCE	sˈɐbstəns
SUBSTANCES	sˈɐbstənsɪz
SUBSTANTIAL	səbstˈænʃəl
SUBSTANTIALLY	səbstˈænʃəli
SUBSTITUTE	sˈɐbstɪtjˌuːt
SUBSTITUTION	sˌɐbstɪtjˈuːʃən
SUBSTRATE	sˈɐbstɹeɪt
SUBTITLES	sˈɐbtˌaɪtəlz
SUBTLE	sˈɐtəl
SUBTRACT	səbtɹˈækt
SUBURB	sˈɐbɜːb
SUBURBAN	səbˈɜːbən
SUBURBS	sˈɐbɜːbz
SUBWAY	sˈɐbwˌeɪ
SUCCEED	səksˈiːd
SUCCEEDED	səksˈiːdɪd
SUCCESS	səksˈɛs
SUCCESSES	səksˈɛsɪz
SUCCESSFUL	səksˈɛsfəl
SUCCESSFULLY	səksˈɛsfəli
SUCCESSION	səksˈɛʃən
SUCCESSIVE	səksˈɛsɪv
SUCCESSOR	səksˈɛsə
SUCCINCT	səksˈɪnt
SUCCUMB	səkˈɐm
SUCH	sˈɐtʃ
SUCK	sˈɐk
SUCKER	sˈɐkə
SUCKING	sˈɐkɪŋ
SUCKS	sˈɐks
SUDAN	suːdˈɑːn
SUDDEN	sˈɐdən
SUDDENLY	sˈɐdənli
SUE	sˈuː
SUFFER	sˈɐfə
SUFFERED	sˈɐfəd
SUFFERER	sˈɐfəɹə
SUFFERERS	sˈɐfəɹəz
SUFFERING(1)	sˈɐfɹɪŋ
SUFFERING(2)	sˈɐfəɹɪŋ
SUFFERS	sˈɐfəz
SUFFICIENT	səfˈɪʃənt
SUFFICIENTLY	səfˈɪʃəntli
SUFFOLK	sˈɐfək
SUGAR	ʃˈʊgə
SUGGEST	sədʒˈɛst
SUGGESTED	sədʒˈɛstɪd
SUGGESTING	sədʒˈɛstɪŋ
SUGGESTION	sədʒˈɛstʃən
SUGGESTIONS	sədʒˈɛstʃənz
SUGGESTS	sədʒˈɛsts
SUICIDE	sˈuːɪsˌaɪd
SUIT	sˈuːt
SUITABLE	sˈuːtəbəl
SUITCASE	sˈuːtkˌeɪs
SUITE	swˈiːt
SUITED	sˈuːtɪd
SUITES	swˈiːts
SUITS	sˈuːts
SULK	sˈɐlk
SULKY	sˈɐlki
SULLIVAN	sˈɐlɪvən
SULLY	sˈɐli
SULPHUR	sˈɐlfə
SUM	sˈɐm
SUMMARIES	sˈɐməɹiz
SUMMARISE	sˈɐməɹˌaɪz
SUMMARY	sˈɐməɹi
SUMMER	sˈɐmə
SUMMIT	sˈɐmɪt
SUMMON	sˈɐmən
SUMS	sˈɐmz
SUN	sˈɐn
SUNBURN	sˈɐnbˌɜːn
SUNDAY(1)	sˈɐndi
SUNDAY(2)	sˈɐndˌeɪ
SUNDAYS(1)	sˈɐndˌiːz
SUNDAYS(2)	sˈɐndˌeɪz
SUNDERLAND	sˈɐndələnd
SUNG	sˈɐŋ
SUNGLASSES	sˈɐnglˌɑːsɪz
SUNK	sˈɐŋk
SUNLIGHT	sˈɐnlˌaɪt
SUNNY	sˈɐni
SUNRISE	sˈɐnɹˌaɪz
SUNSET	sˈɐnsˌɛt
SUNSHINE	sˈɐnʃˌaɪn
SUPER	sˈuːpə
SUPERB(1)	sʊpˈɜːb
SUPERB(2)	suːpˈɜːb
SUPERFICIAL	sˌuːpəfˈɪʃəl
SUPERFLOUS	sˌuːpˈɜːflʊəs
SUPERINTENDENT	sˌuːpəɹɪntˈɛndənt
SUPERIOR	suːpˈɪəɹɪə
SUPERIORITY	suːpˌɪəɹɪˈɒɹɪti
SUPERMARKET	sˈuːpəmˌɑːkɪt
SUPERSEDE	sˌuːpəsˈiːd
SUPERSEDED	sˌuːpəsˈiːdɪd
SUPERVISE	sˈuːpəvˌaɪz
SUPERVISION	sˌuːpəvˈɪʒən
SUPERVISOR	sˈuːpəvˌaɪzə
SUPERVISORS	sˈuːpəvˌaɪzəz
SUPPER	sˈɐpə
SUPPLEMENT(1)	sˈɐplɪmənt
SUPPLEMENT(2)	sɐplɪmˈɛnt
SUPPLEMENTAL	sˌɐplɪmˈɛntəl
SUPPLEMENTS(1)	sˈɐplɪmənts
SUPPLEMENTS(2)	sɐplɪmˈɛnts
SUPPLIED	səplˈaɪd
SUPPLIER	səplˈaɪə
SUPPLIERS	səplˈaɪəz
SUPPLIES	səplˈaɪz
SUPPLY	səplˈaɪ
SUPPORT	səpˈɔːt
SUPPORTED	səpˈɔːtɪd
SUPPORTER	səpˈɔːtə
SUPPORTERS	səpˈɔːtəz
SUPPORTING	səpˈɔːtɪŋ
SUPPORTIVE	səpˈɔːtɪv
SUPPORTS	səpˈɔːts
SUPPOSE	səpˈəʊz
SUPPOSED	səpˈəʊzd
SUPPOSEDLY	səpˈəʊzədli
SUPPRESS	səpɹˈɛs
SUPREMACIST(1)	sʊpɹˈɛməsɪst
SUPREMACIST(2)	sjʊpɹˈɛməsɪst
SUPREME	səpɹˈiːm
SURE	ʃˈɔː
SURELY	ʃˈɔːli
SURF	sˈɜːf
SURFACE	sˈɜːfɪs
SURFACES	sˈɜːfɪsɪz
SURFING	sˈɜːfɪŋ
SURGE	sˈɜːdʒ
SURGEON	sˈɜːdʒən
SURGEONS	sˈɜːdʒənz
SURGERY	sˈɜːdʒəɹi
SURGICAL	sˈɜːdʒɪkəl
SURLY	sˈɜːli
SURMISE(1)	sˈɜːmaɪz
SURMISE(2)	sɜːmˈaɪz
SURNAME	sˈɜːnˌeɪm
SURPLUS	sˈɜːpləs
SURPRISE	səpɹˈaɪz
SURPRISED	səpɹˈaɪzd
SURPRISES	səpɹˈaɪzɪz
SURPRISING	səpɹˈaɪzɪŋ
SURPRISINGLY	səpɹˈaɪzɪŋli
SURRENDER	səɹˈɛndə
SURREY	sˈɐɹi
SURROUND	səɹˈaʊnd
SURROUNDED	səɹˈaʊndɪd
SURROUNDING	səɹˈaʊndɪŋ
SURROUNDINGS	səɹˈaʊndɪŋz
SURVEILLANCE	səvˈeɪləns
SURVEY(1)	səvˈeɪ
SURVEY(2)	sˈɜːvˌeɪ
SURVEYOR	səvˈeɪə
SURVEYORS	səvˈeɪəz
SURVEYS(1)	səvˈeɪz
SURVEYS(2)	sˈɜːvˌeɪz
SURVIVAL	səvˈaɪvəl
SURVIVE	səvˈaɪv
SURVIVED	səvˈaɪvd
SURVIVES	səvˈaɪvz
SURVIVING	səvˈaɪvɪŋ
SURVIVOR	səvˈaɪvə
SURVIVORS	səvˈaɪvəz
SUSAN	sˈuːzən
SUSCEPTIBLE	səsˈɛptɪbəl
SUSHI	sˈuːʃi
SUSPECT(1)	səspˈɛkt
SUSPECT(2)	sˈɐspˌɛkt
SUSPECTED	səspˈɛktɪd
SUSPECTS(1)	səspˈɛkts
SUSPECTS(2)	sˈɐspˌɛkts
SUSPEND	səspˈɛnd
SUSPENDED	səspˈɛndɪd
SUSPENSE	səspˈɛns
SUSPENSION	səspˈɛnʃən
SUSPICION	səspˈɪʃən
SUSPICIOUS	səspˈɪʃəs
SUSS	sˈɐs
SUSSEX	sˈɐsɪks
SUSTAIN	səstˈeɪn
SUSTAINABILITY	səstˌeɪnəbˈɪlɪti
SUSTAINABLE	səstˈeɪnəbəl
SUSTAINED	səstˈeɪnd
SUTTON	sˈɐtən
SUZUKI	səzˈuːki
SWAB	swˈɒb
SWAG	swˈæg
SWALLOW	swˈɒləʊ
SWALLOWED	swˈɒləʊd
SWAM	swˈæm
SWAMP	swˈɒmp
SWAN	swˈɒn
SWANSEA	swˈɒnzi
SWAP	swˈɒp
SWAPPED	swˈɒpt
SWARM	swˈɔːm
SWAT	swˈɒt
SWATHE	swˈeɪð
SWAY	swˈeɪ
SWAZILAND	swˈɑːzɪlænd
SWEAR	swˈɛə
SWEARING	swˈɛəɹɪŋ
SWEAT	swˈɛt
SWEATED	swˈɛtɪd
SWEDE	swˈiːd
SWEDEN	swˈiːdən
SWEDISH	swˈiːdɪʃ
SWEEP	swˈiːp
SWEEPING	swˈiːpɪŋ
SWEET	swˈiːt
SWEETHEART	swˈiːthˌɑːt
SWEETIE	swˈiːti
SWEETS	swˈiːts
SWELL	swˈɛl
SWELLED	swˈɛld
SWEPT	swˈɛpt
SWIFT	swˈɪft
SWIFTLY	swˈɪftli
SWIG	swˈɪg
SWILL	swˈɪl
SWIM	swˈɪm
SWIMMING	swˈɪmɪŋ
SWINDON	swˈɪndən
SWINE	swˈaɪn
SWING	swˈɪŋ
SWINGERS	swˈɪŋəz
SWIPE	swˈaɪp
SWIRL	swˈɜːl
SWISH	swˈɪʃ
SWISS	swˈɪs
SWITCH	swˈɪtʃ
SWITCHED	swˈɪtʃt
SWITCHES	swˈɪtʃɪz
SWITCHING	swˈɪtʃɪŋ
SWITZERLAND	swˈɪtsələnd
SWIVEL	swˈɪvəl
SWOLLEN	swˈəʊlən
SWOOP	swˈuːp
SWORD	sˈɔːd
SWORE	swˈɔː
SWORN	swˈɔːn
SWOT	swˈɒt
SWUM	swˈɐm
SWUNG	swˈɐŋ
SYCOPHANT	sˈɪkəfənt
SYDNEY	sˈɪdni
SYLLABLE	sˈɪləbəl
SYLLABUS	sˈɪləbəs
SYMANTEC	sɪmˈæntˌɛk
SYMBOL	sˈɪmbəl
SYMBOLIC	sɪmbˈɒlɪk
SYMBOLS	sˈɪmbəlz
SYMMETRIC	sɪmˈɛtɹɪk
SYMMETRY	sˈɪmətɹi
SYMPATHETIC	sˌɪmpəθˈɛtɪk
SYMPATHY	sˈɪmpəθi
