ئابووری	.ʔa.bû.rî
دەستوورەوە	.des.tû.re.we
دەستی	.des.tî
دەستیان	.dest.yan
دەستەوە	.des.te.we
دەسحەقێک	.des.ḧe.qêk
دەسحەقی	.des.ḧe.qî
دەسووتاندن	.de.sû.tan.din
دەسەلمێندرا	.de.sel.mên.di.ra
دەسەڵات	.de.se.łat
دەسەڵاتدار	.de.se.łat.dar
دەسەڵاتداران	.de.se.łat.da.ran
دەسەڵاتدارانی	.de.se.łat.da.ra.nî
دەسەڵاتداری	.de.se.łat.da.rî
دەسەڵاتداریی	.de.se.łat.da.rîy
دەسەڵاتدارەکان	.de.se.łat.da.re.kan
دەسەڵاتدارەکانی	.de.se.łat.da.re.ka.nî
دەسەڵاتی	.de.se.ła.tî
دەسەڵاتە	.de.se.ła.te
دەشاردنەوە	.de.şar.di.ne.we
دەشتوانن	.deş.twa.nin
دەشتوانێ	.deş.twa.nê
دەشزانن	.deş.za.nin
دەشفرۆشرێن	.deş.fi.roş.rên
دەشڵێ	.deş.łê
دەشیانگوت	.deş.yan.gut
دەشەلێ	.de.şe.lê
دەفرۆشت	.de.fi.roşt
دەفرۆشتنەوە	.def.roş.ti.ne.we
دەفرۆشدران	.def.roş.di.ran
دەفرۆشدرێن	.def.roş.di.rên
دەفرۆشران	.def.roş.ran
دەفرۆشرێ	.def.roş.rê
دەفرۆشرێن	.def.roş.rên
دەفرۆشن	.def.ro.şin
دەفرۆشێ	.def.ro.şê
دەڤەرێک	.de.ve.rêk
دەڤەرە	.de.ve.re
دەقی	.de.qî
دەقە	.de.qe
دەکا	.de.ka
دەکاتەوە	.de.ka.te.we
دەکرا	.de.ki.ra
دەکران	.de.ki.ran
دەکرانەوە	.de.ki.ra.ne.we
دەکرایەوە	.de.ki.ra.ye.we
دەکرد	.de.kird
دەکردن	.de.kir.din
دەکردنەوە	.de.kir.di.ne.we
دەکردەوە	.de.kir.de.we
دەکرێ	.de.ki.rê
دەکرێن	.de.ki.rên
دەکرێنەوە	.de.ki.rê.ne.we
دەکڕدرێن	.de.kiř.di.rên
دەکڕن	.de.ki.řin
دەکڕێ	.de.ki.řê
دەکڕی	.de.ki.řî
دەکوژران	.de.kuj.ran
دەکۆچێندران	.de.ko.çên.di.ran
دەکەمەوە	.de.ke.me.we
دەکەن	.de.ken
دەکەنەوە	.de.ke.ne.we
دەکەون	.de.kewn
دەکەوێ	.de.ke.wê
دەکەی	.de.key
دەکەین	.de.keyn
دەکەینەوە	.de.key.ne.we
دەگا	.de.ga
دەگاتێ	.de.ga.tê
دەگرتەوە	.de.gir.te.we
دەگرن	.de.gi.rin
دەگرێ	.de.gi.rê
دەگرێتەوە	.de.gi.rê.te.we
دەگمەن	.deg.men
دەگوترێ	.de.gut.rê
دەگێڕاوە	.de.gê.řa.we
دەگێڕێتەوە	.de.gê.řê.te.we
دەگیرا	.de.gî.ra
دەگیران	.de.gî.ran
دەگیردرا	.de.gîr.di.ra
دەگیردرێن	.de.gîr.di.rên
دەگەڕان	.de.ge.řan
دەگەڕێنن	.de.ge.řê.nin
دەگەل	.de.gel
دەگەڵ	.de.geł
دەگەڵی	.de.ge.łî
دەگەڵیان	.de.geł.yan
دەلاڤ	.de.lav
دەلوا	.del.wa
دەڵێ	.de.łê
دەڵێن	.de.łên
دەم	.dem
دەما	.de.ma
دەمهەوێ	.dem.he.wê
دەموونرانەوە	.de.mûn.ra.ne.we
دەمۆکراتیا	.de.mok.rat.ya
دەمێنێتەوە	.de.mê.nê.te.we
دەمێنییەوە	.de.mê.nî.ye.we
دەمی	.de.mî
دەمیش	.de.mîş
دەمیشق	.de.mîşq
دەمیشقیش	.de.mîş.qîş
دەن	.den
دەنا	.de.na
دەناردن	.de.nar.din
دەناساند	.de.na.sand
دەناسرێن	.de.nas.rên
دەناسێنن	.de.na.sê.nin
دەنان	.de.nan
دەنگ	.deng
دەنگدانەکاندا	.den.gi.da.ne.kan.da
دەنگێ	.den.gê
دەنگی	.den.gî
دەنووسرێن	.de.nûs.rên
دەنووسن	.de.nû.sin
دەنووسنەوە	.de.nû.si.ne.we
دەنووسێ	.de.nû.sê
دەنووسی	.de.nû.sî
دەنوێندرا	.de.nwên.di.ra
دەنێردران	.de.nêr.di.ran
دەنێردرێن	.de.nêr.di.rên
دەنێردرێنەوە	.de.nêr.di.rê.ne.we
دەنێرن	.de.nê.rin
دەنێرنە	.de.nê.ri.ne
دەنێرێ	.de.nê.rê
دەنیز	.de.nîz
دەهات	.de.hat
دەهاتن	.de.ha.tin
دەهاویشتنە	.de.ha.wîş.ti.ne
دەهێندرێن	.de.hên.di.rên
دەهێنرا	.de.hên.ra
دەهێنرێ	.de.hên.rê
دەهێنرێن	.de.hên.rên
دەهێنرێنە	.de.hên.rê.ne
دەهێوراند	.de.hêw.rand
دەهە	.de.he
دەو	.dew
دەوروپشتیان	.dew.ru.pişt.yan
دەورێکی	.dew.rê.kî
دەورەیی	.dew.re.yî
دەوێ	.de.wê
دەوێرن	.de.wê.rin
دەویست	.de.wîst
دەیان	.de.yan
دەیانتوانی	.de.yan.twa.nî
دەیانڕەخسێنێ	.de.yan.řex.sê.nê
دەیانسپێرن	.de.yan.si.pê.rin
دەیانفرۆشن	.de.yan.fi.ro.şin
دەیانکڕن	.de.yan.kiřn
دەیانکوت	.de.yan.kut
دەیانگوت	.de.yan.gut
دەیاننووسی	.de.yan.nû.sî
دەیانهێنینە	.de.yan.hê.nî.ne
دەیانهەوێ	.de.yan.he.wê
دەیانوێرا	.de.yan.wê.ra
دەیانەوێ	.de.ya.ne.wê
دەیپشکنیم	.dey.piş.ki.nîm
دەیسپێرن	.dey.si.pê.rin
دەیکەن	.dey.ken
دەیگوت	.dey.gut
دەینەوە	.dey.ne.we
رابردم	.ra.bir.dim
رابردوو	.ra.bir.dû
رابردوودا	.ra.bir.dû.da
رابردووی	.ra.bir.dûy
رابردوویەکی	.ra.bir.dû.ye.kî
رابردووەوە	.ra.bir.du.we.we
رابگیردرێ	.ra.bi.gîr.di.rê
رابگەیەندرێ	.ra.bi.ge.yen.di.rê
راپرسنامەکان	.ra.pirs.na.me.kan
راپرسنامەکە	.ra.pirs.na.me.ke
راپرسنامەکەیان	.ra.pirs.na.me.ke.yan
راپرسنامەیەکیان	.ra.pirs.na.me.yek.yan
راپۆرتی	.ra.por.tî
راحەتتر	.ra.ḧet.tir
رادیۆ	.rad.yo
رادەگوێزن	.ra.de.gwê.zin
رادەوەستێندرێن	.ra.de.wes.tên.di.rên
رادەیە	.ra.de.ye
رادەیەک	.ra.de.yek
رادەیەکی	.ra.de.ye.kî
راسپاردەکان	.ra.si.par.de.kan
راست	.rast
راستمان	.rast.man
راستی	.ras.tî
راستیدا	.ras.tî.da
راستیی	.ras.tîy
راستییە	.ras.tî.ye
راستییەکان	.ras.tî.ye.kan
راستییەکەیان	.ras.tî.ye.ke.yan
راستە	.ras.te
راستەقینە	.ras.te.qî.ne
راستەقینەکانی	.ras.te.qî.ne.ka.nî
راستەقینەن	.ras.te.qî.nen
راستەقینەی	.ras.te.qî.ney
راستەوخۆ	.ras.tew.xo
راستەوخۆیان	.ras.tew.xo.yan
راشکاو	.ra.şi.kaw
راڤە	.ra.ve
راکێشاوە	.ra.kê.şa.we
راگرتنی	.ra.gir.ti.nî
راگواست	.ra.gwast
راگیرکران	.ra.gîr.ki.ran
راگەیاند	.ra.ge.yand
راگەیاندبوو	.ra.ge.yan.di.bû
راگەیاندن	.ra.ge.yan.din
راگەیاندنی	.ra.ge.yan.di.nî
راگەیاندنەکانی	.ra.ge.yan.di.ne.ka.nî
راگەیاندووە	.ra.ge.yan.du.we
راگەیەندرا	.ra.ge.yen.di.ra
راگەیەندراو	.ra.ge.yen.di.raw
راگەیەندراوی	.ra.ge.yen.di.ra.wî
راگەیەندراوە	.ra.ge.yen.di.ra.we
راگەیەندراوەکانی	.ra.ge.yen.di.ra.we.ka.nî
رامانەوە	.ra.ma.ne.we
راماونەتەوە	.ra.maw.ne.te.we
رامیار	.ram.yar
رامیارە	.ram.ya.re
رامیز	.ra.mîz
رانەهاتوون	.ra.ne.ha.tûn
راهاتبوون	.ra.ha.ti.bûn
راهێنانی	.ra.hê.na.nî
راوەستێندران	.ra.wes.tên.di.ran
رای	.ray
رایانگواستبوون	.ra.yan.gwas.ti.bûn
رایانگەیاند	.ra.yan.ge.yand
رایبگەیەنن	.ray.bi.ge.ye.nin
رایەڵە	.ra.ye.łe
رچەی	.ri.çey
رحا	.ri.ḧa
رخنەگیر	.rix.ne.gîr
رخنەگیرانە	.rix.ne.gî.ra.ne
رخنەگیری	.rix.ne.gî.rî
رخنەگیریی	.rix.ne.gî.rîy
رزگاری	.riz.ga.rî
رزگاریی	.riz.ga.rîy
رژێم	.ri.jêm
رژێمی	.ri.jê.mî
رژێمەکانی	.ri.jê.me.ka.nî
رسایتڵەکان	.ri.say.ti.łe.kan
رستانە	.ris.ta.ne
رستەکانی	.ris.te.ka.nî
رواڵەت	.rwa.łet
روانگە	.rwan.ge
روانگەگەلێکی	.rwan.ge.ge.lê.kî
روانگەوە	.rwan.ge.we
روانگەی	.rwan.gey
روانینی	.rwa.nî.nî
روانینیان	.rwa.nîn.yan
روو	.rû
رووپەڕ	.rû.peř
رووپەڕانیش	.rû.pe.řa.nîş
رووپەڕێک	.rû.pe.řêk
رووپەڕی	.rû.pe.řî
رووپەڕەکانی	.rû.pe.ře.ka.nî
رووداوە	.rû.da.we
رووداوەکانی	.rû.da.we.ka.nî
رووداوەیە	.rû.da.we.ye
رووداوەیەکی	.rû.da.we.ye.kî
روون	.rûn
رووناکبیر	.rû.nak.bîr
رووناکبیرێک	.rû.nak.bî.rêk
روونتر	.rûn.tir
روونی	.rû.nî
روونە	.rû.ne
رووی	.rûy
روویان	.rû.yan
رۆژ	.roj
رۆژا	.ro.ja
رۆژان	.ro.jan
رۆژانێکی	.ro.ja.nê.kî
رۆژانی	.ro.ja.nî
رۆژانە	.ro.ja.ne
رۆژانەی	.ro.ja.ney
رۆژاوا	.ro.ja.wa
رۆژاواش	.ro.ja.waş
رۆژاوای	.ro.ja.way
رۆژاوایی	.ro.ja.wa.yî
رۆژاوایییان	.ro.ja.wa.yî.yan
رۆژنامە	.roj.na.me
رۆژنامەکان	.roj.na.me.kan
رۆژنامەکە	.roj.na.me.ke
رۆژنامەگەل	.roj.na.me.gel
رۆژنامەگەلە	.roj.na.me.ge.le
رۆژنامەوان	.roj.na.me.wan
رۆژنامەوانانی	.roj.na.me.wa.na.nî
رۆژنامەوانانە	.roj.na.me.wa.na.ne
رۆژنامەوانی	.roj.na.me.wa.nî
رۆژنامەوانیی	.roj.na.me.wa.nîy
رۆژنامەی	.roj.na.mey
رۆژنامەیە	.roj.na.me.ye
رۆژنامەیەک	.roj.na.me.yek
رۆژنامەیەکی	.roj.na.me.ye.kî
رۆژهەڵات	.roj.he.łat
رۆژهەڵاتی	.roj.he.ła.tî
رۆژێ	.ro.jê
رۆژێک	.ro.jêk
رۆژی	.ro.jî
رۆژیدا	.ro.jî.da
رۆژە	.ro.je
رۆژەکانی	.ro.je.ka.nî
رۆشان	.ro.şan
رۆڵێکی	.ro.łê.kî
رۆڵی	.ro.łî
رۆمان	.ro.man
رۆمانە	.ro.ma.ne
رۆمانەکان	.ro.ma.ne.kan
رۆناهی	.ro.na.hî
رۆیاندەکردن	.ro.yan.de.kir.din
رۆیشتە	.royş.te
رێبوارە	.rêb.wa.re
رێبوارەکان	.rêb.wa.re.kan
رێبەرەوە	.rê.be.re.we
رێپێدان	.rê.pê.dan
رێپێدانی	.rê.pê.da.nî
رێپێدراو	.rê.pê.di.raw
رێپێدراوبوون	.rê.pê.di.raw.bûn
رێپێدراون	.rê.pê.di.ra.win
رێپێنەدان	.rê.pê.ne.dan
رێپێنەدانی	.rê.pê.ne.da.nî
رێپێنەدراو	.rê.pê.ne.di.raw
رێپێنەدراوانە	.rê.pê.ne.di.ra.wa.ne
رێپێنەدراوی	.rê.pê.ne.di.ra.wî
رێپێنەدراویی	.rê.pê.ne.di.ra.wîy
رێپێنەدراوییی	.rê.pê.ne.di.ra.wî.yî
رێپێنەدراوییەکان	.rê.pê.ne.di.ra.wî.ye.kan
رێپێنەدراوییەکاندا	.rê.pê.ne.di.ra.wî.ye.kan.da
رێپێنەدراوە	.rê.pê.ne.di.ra.we
رێپێنەدراوەکان	.rê.pê.ne.di.ra.we.kan
رێخراوەکاندا	.rêx.ra.we.kan.da
رێخۆشکەری	.rê.xoş.ke.rî
رێدراوە	.rê.di.ra.we
رێزلێنانی	.rêz.lê.na.nî
رێزمان	.rêz.man
رێزمانی	.rêz.ma.nî
رێزیان	.rêz.yan
رێژانە	.rê.ja.ne
رێژەی	.rê.jey
رێژەیە	.rê.je.ye
رێک	.rêk
رێکبخا	.rêk.bi.xa
رێکبخردرێ	.rêk.bi.xir.di.rê
رێکبخرێ	.rêk.bix.rê
رێکبخرێن	.rêk.bix.rên
رێکبخەن	.rêk.bi.xen
رێکخرا	.rêk.xi.ra
رێکخرابوو	.rêk.xi.ra.bû
رێکخران	.rêk.xi.ran
رێکخرانەوە	.rêk.xi.ra.ne.we
رێکخراوانە	.rêk.xi.ra.wa.ne
رێکخراوانەیان	.rêk.xi.ra.wa.ne.yan
رێکخراون	.rêk.xi.ra.win
رێکخراونەتەوە	.rêk.xi.raw.ne.te.we
رێکخراوە	.rêk.xi.ra.we
رێکخراوەکان	.rêk.xi.ra.we.kan
رێکخراوەکانی	.rêk.xi.ra.we.ka.nî
رێکخراوەکە	.rêk.xi.ra.we.ke
رێکخراوەکەیان	.rêk.xi.ra.we.ke.yan
رێکخراوەگەلی	.rêk.xi.ra.we.ge.lî
رێکخراوەی	.rêk.xi.ra.wey
رێکخراوەیەک	.rêk.xi.ra.we.yek
رێکخراوەیەکی	.rêk.xi.ra.we.ye.kî
رێکخراوەیەکیان	.rêk.xi.ra.we.yek.yan
رێکخست	.rêk.xist
رێکخستنی	.rêk.xis.ti.nî
رێکخستووە	.rêk.xis.tu.we
رێکخەری	.rêk.xe.rî
رێکخەرە	.rêk.xe.re
رێکخەرەکانی	.rêk.xe.re.ka.nî
رێکدەخرا	.rêk.dex.ra
رێکدەخران	.rêk.dex.ran
رێکدەخرێن	.rêk.dex.rên
رێکدەخەن	.rêk.de.xen
رێکلام	.rêk.lam
رێکوپێکییەکی	.rê.ku.pê.kî.ye.kî
رێکیدەخست	.rê.kî.de.xist
رێگا	.rê.ga
رێگای	.rê.gay
رێنووس	.rê.nûs
رێنووسانی	.rê.nû.sa.nî
رێنووسگۆڕاوەکان	.rê.nûs.go.řa.we.kan
رێنووسگۆڕاوەکاندا	.rê.nûs.go.řa.we.kan.da
رێنووسی	.rê.nû.sî
رێنووسە	.rê.nû.se
رێنووسەوە	.rê.nû.se.we
رێی	.rêy
رێیان	.rê.yan
رێیانپێنادرێ	.rê.yan.pê.na.di.rê
رێیپێدەدرێ	.rêy.pê.de.di.rê
رێیپێنادرێ	.rêy.pê.na.di.rê
ریزی	.rî.zî
رەپێیان	.re.pê.yan
رەچاو	.re.çaw
رەچاوگرتنی	.re.çaw.gir.ti.nî
رەچاونەگرتنی	.re.çaw.ne.gir.ti.nî
رەچەڵاکەکانی	.re.çe.ła.ke.ka.nî
رەخساند	.rex.sand
رەخنە	.rex.ne
رەزۆیێ	.re.zo.yê
رەش	.reş
رەشیدێ	.re.şî.dê
رەفەکانەوە	.re.fe.ka.ne.we
رەگەز	.re.gez
رەگەزی	.re.ge.zî
رەگەڵ	.re.geł
رەنگ	.reng
رەنگی	.ren.gî
رەنگییەکانیش	.ren.gî.ye.ka.nîş
رەنگە	.ren.ge
رەنێوهاتبوون	.re.nêw.hat.bûn
رەوا	.re.wa
رەواندزی	.re.wan.di.zî
رەوانی	.re.wa.nî
رەوت	.rewt
رەوتێکی	.rew.tê.kî
رەوتی	.rew.tî
رەوشەن	.rew.şen
ڕا	.řa
ڕاگەیەندرا	.řa.ge.yen.di.ra
ڕانەگەیشتنەکان	.řa.ne.geyş.ti.ne.kan
ڕانەگەیەندراوی	.řa.ne.ge.yen.di.ra.wî
ڕووداوەکانی	.řû.da.we.ka.nî
ڕۆژئاوادا	.řoj.ʔa.wa.da
ڕۆژئاواش	.řoj.ʔa.waş
ڕۆژئاوای	.řoj.ʔa.way
ڕێبازی	.řê.ba.zî
ڕێپێدران	.řê.pê.di.ran
ڕێزلێنان	.řêz.lê.nan
ڕێژەی	.řê.jey
ڕێژەیە	.řê.je.ye
ڕێگای	.řê.gay
ڕێگایەکمان	.řê.ga.yek.man
زاراوەکان	.za.ra.we.kan
زاراوەکانی	.za.ra.we.ka.nî
زاراوەی	.za.ra.wey
زارۆکانن	.za.ro.ka.nin
زارەکی	.za.re.kî
زارەکییانە	.za.re.kî.ya.ne
زازا	.za.za
زازایی	.za.za.yî
زازاییش	.za.za.yîş
زاندرابوو	.zan.di.ra.bû
زانستگای	.za.nist.gay
زانستگایییان	.za.nist.ga.yî.yan
زانستگایەکی	.za.nist.ga.ye.kî
زانستیی	.za.nis.tîy
زانستییەکاندا	.za.nis.tî.ye.kan.da
زانستە	.za.nis.te
زانیاری	.zan.ya.rî
زانیاریگەلێک	.zan.ya.rî.ge.lêk
زانیاریی	.zan.ya.rîy
زانیارییان	.zan.ya.rî.yan
زانیارییەک	.zan.ya.rî.yek
زانیارییەکان	.zan.ya.rî.ye.kan
زانیارییەکانی	.zan.ya.rî.ye.ka.nî
زانیارییەوە	.zan.ya.rî.ye.we
زانیارە	.zan.ya.re
زانیان	.zan.yan
زانیم	.za.nîm
زانین	.za.nîn
زانینی	.za.nî.nî
زانیومە	.za.nîw.me
زاییندراوی	.za.yîn.di.ra.wî
زایەندێتی	.za.yen.dê.tî
زڕوزا	.zi.řu.za
زگماکی	.zig.ma.kî
زگماکیی	.zig.ma.kîy
زگماکییان	.zig.ma.kî.yan
زگیان	.zig.yan
زگەکانیان	.zi.ge.kan.yan
زمان	.zi.man
زمانانە	.zi.ma.na.ne
زمانانەش	.zi.ma.na.neş
زماندا	.zi.man.da
زمانکوژی	.zi.man.ku.jî
زمانکوژییە	.zi.man.ku.jî.ye
زمانکوژییەک	.zi.man.ku.jî.yek
زمانێک	.zi.ma.nêk
زمانێکی	.zi.ma.nê.kî
زمانی	.zi.ma.nî
زمانە	.zi.ma.ne
زمانەکان	.zi.ma.ne.kan
زمانەکانی	.zi.ma.ne.ka.nî
زمانەکانەوە	.zi.ma.ne.ka.ne.we
زمانەکە	.zi.ma.ne.ke
زمانەکەیان	.zi.ma.ne.ke.yan
زوان	.zwan
زوانەکاندا	.zwa.ne.kan.da
زوانەکەمان	.zwa.ne.ke.man
زووانە	.zu.wa.ne
زووبەزوو	.zû.be.zû
زووتر	.zû.tir
زۆر	.zor
زۆربوونی	.zor.bû.nî
زۆربوونەوە	.zor.bû.ne.we
زۆربوونەوەیە	.zor.bû.ne.we.ye
زۆربووەوە	.zor.bu.we.we
زۆربەشیان	.zor.beş.yan
زۆربەی	.zor.bey
زۆربەیان	.zor.be.yan
زۆرتر	.zor.tir
زۆرتربوونەوەشی	.zor.tir.bû.ne.we.şî
زۆرتری	.zor.ti.rî
زۆرتریان	.zor.tir.yan
زۆرتریش	.zor.ti.rîş
زۆرترین	.zor.ti.rîn
زۆرترە	.zor.ti.re
زۆرترەوە	.zor.ti.re.we
زۆرجار	.zor.car
زۆرجاران	.zor.ca.ran
زۆردارانەیە	.zor.da.ra.ne.ye
زۆرکات	.zor.kat
زۆرکارانەی	.zor.ka.ra.ney
زۆرکاری	.zor.ka.rî
زۆرکاریدا	.zor.ka.rî.da
زۆرکارییی	.zor.ka.rî.yî
زۆرکارییە	.zor.ka.rî.ye
زۆرکارییەکانی	.zor.ka.rî.ye.ka.nî
زۆرکارییەکی	.zor.ka.rî.ye.kî
زۆرکارییەوە	.zor.ka.rî.ye.we
زۆرکردنەوەی	.zor.kir.di.ne.wey
زۆرمان	.zor.man
زۆری	.zo.rî
زۆریان	.zor.yan
زۆریش	.zo.rîş
زۆریشی	.zo.rî.şî
زۆرینەی	.zo.rî.ney
زۆرە	.zo.re
زێڕینی	.zê.řî.nî
زیاد	.zyad
زیادەباج	.zya.de.bac
زیانم	.zya.nim
زین	.zîn
زیندوو	.zîn.dû
زینە	.zî.ne
زەبەند	.ze.bend
زەبەندتریان	.ze.bend.tir.yan
زەراق	.ze.raq
زەڤی	.ze.vî
زەکی	.ze.kî
زەنگی	.zen.gî
زەنگیەوە	.zeng.ye.we
زەیۆنیستەکان	.ze.yo.nîs.te.kan
ژان	.jan
ژمارێک	.ji.ma.rêk
ژمارێکی	.ji.ma.rê.kî
ژمارێکیان	.ji.ma.rêk.yan
ژماری	.ji.ma.rî
ژمارە	.ji.ma.re
ژمارەکانی	.ji.ma.re.ka.nî
ژمارەی	.ji.ma.rey
ژن	.jin
ژنان	.ji.nan
ژنێکی	.ji.nê.kî
ژنی	.ji.nî
ژنەکەم	.ji.ne.kem
ژووری	.jû.rî
ژوورەدا	.jû.re.da
ژێر	.jêr
ژێرچاپەکانیان	.jêr.ça.pe.kan.yan
ژێرچاودێریی	.jêr.çaw.dê.rîy
ژێرچەپۆکەکانیش	.jêr.çe.po.ke.ka.nîş
ژێرچەپۆکەیەکیش	.jêr.çe.po.ke.ye.kîş
ژێرزەمینێکی	.jêr.ze.mî.nê.kî
ژێرنووسی	.jêr.nû.sî
ژیابوون	.jya.bûn
ژیاری	.jya.rî
ژیارییەکان	.jya.rî.ye.kan
ژیانا	.jya.na
ژیاننامە	.jyan.na.me
ژیاننامەکەی	.jyan.na.me.key
ژیانێکی	.jya.nê.kî
ژیانی	.jya.nî
ژیانیان	.jyan.yan
ژیانیدا	.jya.nî.da
ژیانیش	.jya.nîş
ژیانەکەمان	.jya.ne.ke.man
ژیانەوەی	.jya.ne.wey
ژیاون	.jya.win
ژیاوە	.jya.we
ژین	.jîn
س	.si
سا	.sa
سارێژکەریی	.sa.rêj.ke.rîy
ساز	.saz
سازدەکرێ	.saz.de.ki.rê
سازدەکەن	.saz.de.ken
سازکرد	.saz.kird
سازکردنی	.saz.kir.di.nî
سازی	.sa.zî
ساکار	.sa.kar
ساکارتر	.sa.kar.tir
ساکاری	.sa.ka.rî
ساگنچ	.sa.ginç
سالی	.sa.lî
ساڵ	.sał
ساڵان	.sa.łan
ساڵاندا	.sa.łan.da
ساڵانێک	.sa.ła.nêk
ساڵانێکی	.sa.ła.nê.kî
ساڵانی	.sa.ła.nî
ساڵانیان	.sa.łan.yan
ساڵانە	.sa.ła.ne
ساڵانەدا	.sa.ła.ne.da
ساڵانەوە	.sa.ła.ne.we
ساڵانەی	.sa.ła.ney
ساڵدا	.sał.da
ساڵن	.sa.łin
ساڵێک	.sa.łêk
ساڵی	.sa.łî
ساڵیادی	.sał.ya.dî
ساڵیادەکان	.sał.ya.de.kan
ساڵیدا	.sa.łî.da
ساڵەدا	.sa.łe.da
ساڵەکان	.sa.łe.kan
ساڵەکانی	.sa.łe.ka.nî
ساڵەی	.sa.łey
سامان	.sa.man
سانسۆرکردنی	.san.sor.kir.di.nî
سپاردن	.si.par.din
ستاندنیان	.si.tan.din.yan
ستوکهۆڵم	.si.tuk.hołm
ستوکهۆڵمەوە	.si.tuk.hoł.me.we
ستۆکهۆڵم	.si.tok.hołm
ستۆکهۆڵمەوە	.si.tok.hoł.me.we
ستێر	.si.têr
ستێرمان	.si.têr.man
ستەمبۆل	.si.tem.bol
ستەمبۆڵ	.si.tem.boł
ستەمبۆڵدا	.si.tem.boł.da
ستەمبۆڵدایە	.si.tem.boł.da.ye
ستەمبۆڵێ	.si.tem.bo.łê
ستەمبۆڵەوە	.si.tem.bo.łe.we
سرۆشتییەکان	.si.roş.tî.ye.kan
سڕانەوەی	.si.řa.ne.wey
سزا	.si.za
سزادران	.si.za.di.ran
سزادرانی	.si.za.di.ra.nî
سزای	.si.zay
سکەنێرێکیان	.si.ke.nê.rêk.yan
سلێمانی	.si.lê.ma.nî
سڵاویان	.si.ław.yan
سمایل	.si.mayl
سنوور	.si.nûr
سنوورانە	.si.nû.ra.ne
سنووردار	.si.nûr.dar
سنووردارەوە	.si.nûr.da.re.we
سنوورێکدا	.si.nû.rêk.da
سنووری	.si.nû.rî
سنوورەکاندا	.si.nû.re.kan.da
سنوورەکانی	.si.nû.re.ka.nî
سنوورەکە	.si.nû.re.ke
سوڵتانی	.suł.ta.nî
سووبسید	.sûb.sîd
سووتا	.sû.ta
سووچێکی	.sû.çê.kî
سوود	.sûd
سوودیی	.sû.dîy
سووری	.sû.rî
سووریا	.sûr.ya
سووریادا	.sûr.ya.da
سووریای	.sûr.yay
سووریایەدە	.sûr.ya.ye.de
سوورییانە	.sû.rî.ya.ne
سوورییەکان	.sû.rî.ye.kan
سوورەکەی	.sû.re.key
سووڕ	.sûř
سووژن	.sû.jin
سووکایەتیی	.sû.ka.ye.tîy
سوێندیان	.swênd.yan
سوید	.swîd
سویددا	.swîd.da
سویدی	.swî.dî
سویدیش	.swî.dîş
سویسدا	.swîs.da
سۆتە	.so.te
سۆرانیش	.so.ra.nîş
سۆرانییە	.so.ra.nî.ye
سۆڤیەت	.sov.yet
سۆلژەنیتسین	.sol.je.nît.sîn
سۆنگەی	.son.gey
سێ	.sê
سێرت	.sêrt
سێڤر	.sê.vir
سێهەم	.sê.hem
سێهەمییەکە	.sê.he.mî.ye.ke
سێی	.sêy
سی	.sî
سیابەند	.sya.bend
سیاسی	.sya.sî
سیاسیی	.sya.sîy
سیاسییە	.sya.sî.ye
سیاسییەکان	.sya.sî.ye.kan
سیاسییەکاندا	.sya.sî.ye.kan.da
سیاسییەکانیان	.sya.sî.ye.kan.yan
سیاسییەکانیش	.sya.sî.ye.ka.nîş
سیاسییەکانیشدا	.sya.sî.ye.ka.nîş.da
سیاسییەکانەوە	.sya.sî.ye.ka.ne.we
سیاسییەوە	.sya.sî.ye.we
سیاسەت	.sya.set
سیاسەتدا	.sya.set.da
سیاسەتی	.sya.se.tî
سیخوڕی	.sî.xu.řî
سیدیی	.sî.dîy
سیدییەکان	.sî.dî.ye.kan
سیریلیک	.sî.rî.lîk
سیریلیکەوە	.sî.rî.lî.ke.we
سیستەمی	.sîs.te.mî
سیمینار	.sî.mî.nar
سەبارەت	.se.ba.ret
سەبری	.seb.rî
سەتان	.se.tan
سەتی	.se.tî
سەتیی	.se.tîy
سەتە	.se.te
سەددام	.sed.dam
سەدەی	.se.dey
سەر	.ser
سەربازە	.ser.ba.ze
سەربازەکانی	.ser.ba.ze.ka.nî
سەربەخۆ	.ser.be.xo
سەربەخۆیی	.ser.be.xo.yî
سەربەخۆییی	.ser.be.xo.yîy
سەربەخۆیییان	.ser.be.xo.yî.yan
سەربەخۆیییەکی	.ser.be.xo.yî.ye.kî
سەربەخۆکان	.ser.be.xo.kan
سەربەرزیی	.ser.ber.zîy
سەرجەم	.ser.cem
سەرجەمدا	.ser.cem.da
سەرجەمی	.ser.ce.mî
سەرچاوکە	.ser.çaw.ke
سەرچاوکەی	.ser.çaw.key
سەرچاوە	.ser.ça.we
سەرچاوەن	.ser.ça.wen
سەردار	.ser.dar
سەرداگیرا	.ser.da.gî.ra
سەردانی	.ser.da.nî
سەردانیان	.ser.dan.yan
سەردێڕی	.ser.dê.řî
سەردەمداریی	.ser.dem.da.rîy
سەردەمی	.ser.de.mî
سەردەمە	.ser.de.me
سەردەمەدا	.ser.de.me.da
سەرڕا	.ser.řa
سەرژمێریی	.ser.ji.mê.rîy
سەرژمێرییە	.ser.ji.mê.rî.ye
سەرژمێرییەدا	.ser.ji.mê.rî.ye.da
سەرژمێرییەکاندا	.ser.ji.mê.rî.ye.kan.da
سەرژمێرییەکی	.ser.ji.mê.rî.ye.kî
