тата	tˈata
ҫулта	çˈʊlta
çарне	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r n jˈɛ
çулах	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l ˈa x
çыравçă	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa v (͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v)
ăслăхĕсен	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n
Виçĕ	v ˈɪ (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
Ен	jˈæn
Пурĕпе	p ˈʊ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
Тĕрлĕ	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
айне	ˈajnɛ
ака	ˈaka
вăрăм	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m
вырнаçтарнă	v ˈɯ r n ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) t ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
йĕркипе	j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r k ˈɪ p jˈɛ
карап	kˈaɾap
кӳлмекĕ	k ˈø l m jˈɛ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пайĕпе	p ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
патшалăхăн	p ˈa t ʃ ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
пултарулăх	p ˈʊ l t ˈa r ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
пурăну	p ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈʊ
пурте	pˈʊrtɛ
сăмаха	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x ˈa
сас	sˈas
сержант	sˈɛrʒant
спорт	spˈɔrt
тĕн	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
тавра	tˈavra
тивĕçтернĕ	t ˈɪ v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) t jˈɛ r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ушкăнĕн	ˈʊ ʃ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
фильм	fˈɪlm
хисеп	xˈisɛp
чун	t͡ʃˈʊn
юр	jˈʊr
ҫул	çˈʊl
çăлтăр	(͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) l t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
çĕршыв	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r ʃ ˈɯ v
çарĕсене	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
çуралса	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r ˈa l s ˈa
çутă	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çывăхĕнче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
çыран	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa n
çӳлти	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø l t ˈɪ
Андрей	ˈandrɛj
Октябрь	ˈɔktjabr
Тĕнчери	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ r ˈɪ
автор	ˈavtɔr
американ	ˌamɛɾˈikan
ансат	ˈansat
аталанса	ˌatalˈansa
вăтамран	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa m r ˈa n
вăхăта	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa
йăхĕсем	j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
кăларать	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l ˈa r ˈa t
калама	kalˈama
нумайрах	numˈajrax
пилĕк	p ˈɪ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
пынипе	pɯnˈipɛ
пысăккисем	p ˈɯ s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k k ˈɪ s jˈæ m
рим	rˈɪm
сăрă	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
сиксе	sˈɪksɛ
сорчĕ	s ˈɔ r t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
татах	tˈatax
тунӑ	tˈunɯ
тупса	tˈʊpsa
тухсан	tˈʊxsan
урăхла	ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x l ˈa
утă	ˈʊ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
утрав	ˈʊtrav
шухăш	ʃ ˈʊ x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ
ҫав	çˈav
ҫын	çˈɯn
ӑна	ˈɯna
Çул	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l
çарпуçĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
çӳрет	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø r jˈɛ t
ĕçĕпе	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) p jˈɛ
ĕçсене	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) s jˈæ n jˈɛ
Амăшĕ	ˈa m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Анна	ˈanna
РСФСР	rsfsr
Яковлев	jakˈɔvlɛv
енĕ	jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
еннелле	jænnˈɛllɛ
ирĕке	ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k jˈɛ
кăткăс	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s
кĕнеки	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n jˈɛ k ˈɪ
кавалери	kˌavalˈɛɾɪ
кирек	kˈiɾɛk
клуб	klˈʊb
леш	lˈɛʃ
майпа	mˈajpa
музейĕ	m ˈʊ z jˈɛ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
облаçĕнчи	ˈɔ b l ˈa (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
пĕрлĕх	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x
паллах	pˈallax
пысăкрах	p ˈɯ s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k r ˈa x
республика	rˌɛspʊblˈika
сăвă	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăрса	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r s ˈa
тачă	t ˈa t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
территорине	tˌɛrritoɾˈinɛ
территоринче	tˌɛrritoɾˈɪnt͡ʃɛ
ултă	ˈʊ l t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
чикки	t͡ʃˈɪkkɪ
шутланаççĕ	ʃ ˈʊ t l ˈa n ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
юлать	jˈulat
юханшывăнн	jˈʊ x ˈa n ʃ ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n
ӳкернĕ	ˈø k jˈɛ r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Çамрăк	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa m r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k
Çамрăксен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa m r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k s jˈæ n
çĕрсем	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r s jˈæ m
çакă	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çултах	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l t ˈa x
çур	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r
ÿнерçĕ	(͡e͡n)wˌa͡ɪˈʊmla͡ʊt(͡c͡v) n jˈɛ r (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
Дмитрий	dmˈɪtrɪj
Европăри	jˈɛ v r ˈɔ p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈɪ
Инди	ˈɪndɪ
Карл	kˈarl
Ленинград	lɛnˈɪnɡrad
Сăмахран	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x r ˈa n
Цезарь	t͡sˈɛzar
Ячĕ	jˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ачасем	at͡ʃˈasɛm
вăйĕсен	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n
вырнаҫнӑ	vɯrnˈaçnɯ
директорĕ	d ˈɪ r jˈɛ k t ˈɔ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
йĕркелесе	j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r k jˈæ l jˈɛ s jˈɛ
кăлараççĕ	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l ˈa r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
кăларма	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l ˈa r m ˈa
кăтартакан	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa r t ˈa k ˈa n
кг	kɡ
патшалăхĕн	p ˈa t ʃ ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
профессор	profˈɛssɔr
районне	rajˈɔnnɛ
режиссёр	rɛʒˈɪssjɔr
сали	sˈalɪ
тӗрлӗ	tˈɵrlɵ
хĕсметре	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s m jˈɛ t r jˈɛ
хушма	xˈʊʃma
чĕннĕ	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
чӳк	t͡ʃˈøk
эпир	ˈepɪr
ячĕсем	jˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
Çĕршывăн	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r ʃ ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
Çут	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ t
çурма	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r m ˈa
çухрăмра	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ x r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m r ˈa
çыравçи	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa v (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
çыранĕнче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
Европăра	jˈɛ v r ˈɔ p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa
Малтанах	maltˈanax
Паянхи	pajˈanxɪ
Пур	pˈʊr
Самар	sˈamar
айĕнчи	ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
актриса	aktrˈisa
выляса	vɯljˈasa
йышăнаççĕ	j ˈɯ ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
кандидачĕ	k ˈa n d ˈɪ d ˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
кунĕ	k ˈʊ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
курăк	k ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k
ним	nˈɪm
пĕрлĕхĕн	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
пĕрлешĕвĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l jˈɛ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пĕрмаях	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r m ˈa jˈa x
паллисем	pallˈisɛm
патшалăхне	p ˈa t ʃ ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x n jˈɛ
президенчĕ	p r jˈɛ z ˈɪ d jˈæ n t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пуçламăш	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) l ˈa m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ
пулăшнă	p ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пулмасть	pˈʊlmast
роман	rˈoman
суйланă	s ˈʊ j l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
типĕ	t ˈɪ p (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тыткăна	t ˈɯ t k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa
умĕнче	ˈʊ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
хисеплĕ	x ˈɪ s jˈɛ p l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хулин	xˈulɪn
хушать	xˈuʃat
часах	t͡ʃˈasax
чиркĕвĕ	t͡ʃ ˈɪ r k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
чухлĕ	t͡ʃ ˈʊ x l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
шкула	ʃkˈula
ялĕсем	jˈa l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
çавна	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa v n ˈa
çулне	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l n jˈɛ
çурла	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r l ˈa
Борис	bˈoɾɪs
Виктор	vˈɪktɔr
Елена	jelˈɛna
Илте	ˈɪltɛ
Испани	ɪspˈanɪ
Павлович	pavlˈovɪt͡ʃ
академин	ˌakadˈɛmɪn
ал	ˈal
император	ˌɪmpɛɾˈatɔr
кĕтсе	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t s jˈɛ
коммуни	kɔmmˈunɪ
красноармеец	krˌasnoarmˈɛɛt͡s
облаçĕнче	ˈɔ b l ˈa (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
пĕрлешĕвĕн	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l jˈɛ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
палăртать	p ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t ˈa t
пулăшу	p ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ ˈʊ
пулĕ	p ˈʊ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пыма	pˈɯma
пысăках	p ˈɯ s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k ˈa x
тĕпчесе	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p t͡ʃ jˈɛ s jˈɛ
таврăннă	t ˈa v r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тухтăрĕ	t ˈʊ x t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тытма	tˈɯtma
тӑрать	tˈɯɾat
утравĕ	ˈʊ t r ˈa v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ушкăн	ˈʊ ʃ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
хĕçпăшаллă	x (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ ˈa l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хатĕр	x ˈa t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
чĕлхене	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x jˈæ n jˈɛ
шыва	ʃˈɯva
ыйтнă	ˈɯ j t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
элемент	elˈɛmɛnt
юханшывсем	jˌuxanʃˈɯvsɛm
çыннисен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n n ˈɪ s jˈæ n
çӳрекен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø r jˈɛ k jˈæ n
Америка	ˌamɛɾˈika
Балтиçум	b ˈa l t ˈɪ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ m
Мария	maɾˈija
Мезень	mˈɛzɛn
Элĕк	ˈæ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
Яла	jˈala
аван	ˈavan
административлӑ	ˌadminˌɪstratˈɪvlɯ
вăрçине	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ n jˈɛ
йышши	jˈɯʃʃɪ
кăвак	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa k
мăн	m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
нимĕçсем	n ˈɪ m (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) s jˈæ m
пĕлтерĕшĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l t jˈɛ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пайĕсене	p ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
паллӑ	pˈallɯ
председателĕ	p r jˈɛ d s jˈɛ d ˈa t jˈæ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
рольне	rˈɔlnɛ
сарă	s ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
сасси	sˈassɪ
сехет	sˈɛxɛt
системине	sˌɪstɛmˈinɛ
тивĕç	t ˈɪ v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
тумалли	tumˈallɪ
участокĕ	ˈʊ t͡ʃ ˈa s t ˈɔ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хăваласа	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa l ˈa s ˈa
хаяр	xˈajar
хута	xˈuta
хушăрах	x ˈʊ ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa x
шайĕнче	ʃ ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
штурмлакан	ʃtʊrmlˈakan
ялавĕ	jˈa l ˈa v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
XVII	(͡e͡n)ˈɛks vˈiː ˈa͡ɪ ˈa͡ɪ(͡c͡v)
Çăмартисем	(͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa r t ˈɪ s jˈæ m
Çĕпĕр	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
çç	(͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ(͡c͡v)
çĕрĕнче	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
çĕрсенче	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r s jˈæ n t͡ʃ jˈɛ
çулĕсенче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n t͡ʃ jˈɛ
çултанпа	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l t ˈa n p ˈa
çуртне	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r t n jˈɛ
çухрăма	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ x r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa
ĕçлеççĕ	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
Алтай	ˈaltaj
Вашка	vˈaʃka
Владимирович	vlˌadimiɾˈovɪt͡ʃ
Мĕншĕн	m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
Пĕчĕк	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
Павел	pˈavɛl
Тан	tˈan
Туçи	t ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
Турă	t ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Тутар	tˈutar
Халах	xˈalax
администрацийĕ	ˈa d m ˈɪ n ˈɪ s t r ˈa t͡s ˈɪ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
арап	ˈaɾap
асăнаççĕ	ˈa s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
йĕр	j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
кăларакан	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l ˈa r ˈa k ˈa n
кĕнекинче	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n jˈɛ k ˈɪ n t͡ʃ jˈɛ
килĕшӳ	k ˈɪ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ ˈø
начар	nˈat͡ʃar
пайăр	p ˈa j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
пани	pˈanɪ
пуçлаççĕ	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) l ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
пулакан	pulˈakan
пурне	pˈʊrnɛ
тăвăм	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m
тĕплĕн	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
тĕпченĕ	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p t͡ʃ jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
таврашĕнче	t ˈa v r ˈa ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
театрĕ	t jˈɛ ˈa t r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
техника	tɛxnˈika
тимĕр	t ˈɪ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
транспорт	trˈanspɔrt
уçса	ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) s ˈa
училищинче	ˌut͡ʃiliççˈɪnt͡ʃɛ
фельдшер	fˈɛldʃɛr
хăмăр	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
хĕрринчи	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r r ˈɪ n t͡ʃ ˈɪ
халӑх	xˈalɯx
хӑйӗн	xˈɯjɵn
хӳтĕленĕ	x ˈø t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
чĕлхисем	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x ˈɪ s jˈæ m
юн	jˈʊn
ялан	jˈalan
ялне	jˈalnɛ
ҫулхи	çˈʊlxɪ
çĕршывăн	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r ʃ ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
çех	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈɛ x
çут	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ t
çухатнă	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ x ˈa t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
