பல	pˈʌlʌ
KOH	(͡e͡n)kˈə͡ʊ(͡t͡a)
Karl	(͡e͡n)kˈɑːl(͡t͡a)
Large	(͡e͡n)lˈɑːd͡ʒ(͡t͡a)
Lost	(͡e͡n)lˈɒst(͡t͡a)
MA	(͡e͡n)mˈɑː(͡t͡a)
MIS	(͡e͡n)mˈɪs(͡t͡a)
Malik	(͡e͡n)mˈalɪk(͡t͡a)
Marine	(͡e͡n)məɹˈiːn(͡t͡a)
Max	(͡e͡n)mˈaks(͡t͡a)
Mohamed	(͡e͡n)mə͡ʊhˈamɪd(͡t͡a)
Moon	(͡e͡n)mˈuːn(͡t͡a)
NASA	(͡e͡n)nˈasɐ(͡t͡a)
NATO	(͡e͡n)nˈe͡ɪtə͡ʊ(͡t͡a)
NFS	(͡e͡n)ˌɛnˌɛfˈɛs(͡t͡a)
Night	(͡e͡n)nˈa͡ɪt(͡t͡a)
Norman	(͡e͡n)nˈɔːmən(͡t͡a)
Note	(͡e͡n)nˈə͡ʊt(͡t͡a)
ONGC	(͡e͡n)ˈɒŋk(͡t͡a)
Optical	(͡e͡n)ˈɒptɪkə͡l(͡t͡a)
Org	(͡e͡n)ˈɔːɡ(͡t͡a)
Perry	(͡e͡n)pˈɛɹi(͡t͡a)
Plate	(͡e͡n)plˈe͡ɪt(͡t͡a)
Principia	(͡e͡n)pɹɪnsˈɪpi͡ə(͡t͡a)
Programme	(͡e͡n)pɹˈə͡ʊɡɹam(͡t͡a)
RCA	(͡e͡n)ˌɑːsˌiːˈe͡ɪ(͡t͡a)
RF	(͡e͡n)ˌɑːɹˈɛf(͡t͡a)
RFP	(͡e͡n)ˌɑːɹˌɛfpˈiː(͡t͡a)
RSA	(͡e͡n)ˌɑːɹˌɛsˈe͡ɪ(͡t͡a)
Race	(͡e͡n)ɹˈe͡ɪs(͡t͡a)
Rai	(͡e͡n)ɹˈa͡ɪ(͡t͡a)
Ray	(͡e͡n)ɹˈe͡ɪ(͡t͡a)
Re	(͡e͡n)ɹˌiː(͡t͡a)
Religion	(͡e͡n)ɹɪlˈɪd͡ʒən(͡t͡a)
Resource	(͡e͡n)ɹɪzˈɔːs(͡t͡a)
Rev	(͡e͡n)ɹˈɛv(͡t͡a)
Russell	(͡e͡n)ɹˈʌsə͡l(͡t͡a)
Russia	(͡e͡n)ɹˈʌʃə(͡t͡a)
SIS	(͡e͡n)sˈɪs(͡t͡a)
SS	(͡e͡n)ˌɛsˈɛs(͡t͡a)
SWF	(͡e͡n)ˌɛsdˌʌbə͡ljˌuːˈɛf(͡t͡a)
SWNT	(͡e͡n)ˌɛsdˌʌbə͡ljˌuːˌɛntˈiː(͡t͡a)
Seven	(͡e͡n)sˈɛvən(͡t͡a)
Sharma	(͡e͡n)ʃˈɑːmə(͡t͡a)
Sinha	(͡e͡n)sˈɪnhə(͡t͡a)
Sound	(͡e͡n)sˈa͡ʊnd(͡t͡a)
Standards	(͡e͡n)stˈandədz(͡t͡a)
Stanley	(͡e͡n)stˈanli(͡t͡a)
Stone	(͡e͡n)stˈə͡ʊn(͡t͡a)
Structure	(͡e͡n)stɹˈʌkt͡ʃə(͡t͡a)
Stuart	(͡e͡n)stjˈuːət(͡t͡a)
Swami	(͡e͡n)swˈɑːmi(͡t͡a)
Te	(͡e͡n)tˈiː(͡t͡a)
TiCl	(͡e͡n)tˈa͡ɪ sˌiːˈɛl(͡t͡a)
Total	(͡e͡n)tˈə͡ʊtə͡l(͡t͡a)
Town	(͡e͡n)tˈa͡ʊn(͡t͡a)
Truth	(͡e͡n)tɹˈuːθ(͡t͡a)
UTC	(͡e͡n)jˌuːtˌiːsˈiː(͡t͡a)
Universe	(͡e͡n)jˈuːnɪvˌɜːs(͡t͡a)
Victoria	(͡e͡n)vɪktˈɔːɹi͡ə(͡t͡a)
WTO	(͡e͡n)dˌʌbə͡ljˌuːtˌiːˈə͡ʊ(͡t͡a)
What	(͡e͡n)wˌɒt(͡t͡a)
Wiley	(͡e͡n)wˈa͡ɪli(͡t͡a)
Work	(͡e͡n)wˈɜːk(͡t͡a)
XY	(͡e͡n)ˌɛkswˈa͡ɪ(͡t͡a)
YHWH	(͡e͡n)ˈɪhʊ(͡t͡a)
Your	(͡e͡n)jɔː(͡t͡a)
activity	(͡e͡n)aktˈɪvɪti(͡t͡a)
ad	(͡e͡n)ˈad(͡t͡a)
air	(͡e͡n)ˈe͡ə(͡t͡a)
arts	(͡e͡n)ˈɑːts(͡t͡a)
blood	(͡e͡n)blˈʌd(͡t͡a)
ca	(͡e͡n)kˈɑː(͡t͡a)
chemical	(͡e͡n)kˈɛmɪkə͡l(͡t͡a)
cognitive	(͡e͡n)kˈɒɡnɪtˌɪv(͡t͡a)
curve	(͡e͡n)kˈɜːv(͡t͡a)
district	(͡e͡n)dˈɪstɹɪkt(͡t͡a)
domain	(͡e͡n)dəmˈe͡ɪn(͡t͡a)
dose	(͡e͡n)dˈə͡ʊs(͡t͡a)
double	(͡e͡n)dˈʌbə͡l(͡t͡a)
educational	(͡e͡n)ˌɛd͡ʒuːkˈe͡ɪʃənə͡l(͡t͡a)
equation	(͡e͡n)ɪkwˈe͡ɪʒən(͡t͡a)
file	(͡e͡n)fˈa͡ɪl(͡t͡a)
good	(͡e͡n)ɡˈʊd(͡t͡a)
ii	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡t͡a)
key	(͡e͡n)kˈiː(͡t͡a)
lens	(͡e͡n)lˈɛnz(͡t͡a)
linear	(͡e͡n)lˈɪni͡ə(͡t͡a)
man	(͡e͡n)mˈan(͡t͡a)
medicine	(͡e͡n)mˈɛdsən(͡t͡a)
membrane	(͡e͡n)mˈɛmbɹe͡ɪn(͡t͡a)
motion	(͡e͡n)mˈə͡ʊʃən(͡t͡a)
movement	(͡e͡n)mˈuːvmənt(͡t͡a)
negative	(͡e͡n)nˈɛɡətˌɪv(͡t͡a)
notation	(͡e͡n)nə͡ʊtˈe͡ɪʃən(͡t͡a)
private	(͡e͡n)pɹˈa͡ɪvət(͡t͡a)
rRNA	ˈaːr (͡e͡n)ˌɑːɹˌɛnˈe͡ɪ(͡t͡a)
silencing	(͡e͡n)sˈa͡ɪlənsɪŋ(͡t͡a)
studies	(͡e͡n)stˈʌdiz(͡t͡a)
triangle	(͡e͡n)tɹˈa͡ɪaŋɡə͡l(͡t͡a)
und	(͡e͡n)ˈʌnd(͡t͡a)
visual	(͡e͡n)vˈɪʒuːə͡l(͡t͡a)
web	(͡e͡n)wˈɛb(͡t͡a)
white	(͡e͡n)wˈa͡ɪt(͡t͡a)
Ω	(͡e͡l)omˈeɣa(͡t͡a)
ஆசன	ˈaːsʌnʌ
ஆபரண	ˈaːbʌɹˌʌɳʌ
இத	ˈidʌ
ஈழவ	ˈiːɻʌvʌ
உகர	ˈuɡʌɹʌ
எம	ʲˈemʌ
ஐஓ	ˈa͡ɪoː
ககர	kˈʌɡʌɹʌ
கரண	kˈʌɹʌɳʌ
சதய	sˈʌdʌjʌ
சலன	sˈʌlʌnʌ
ர	ɹˈʌ
லய	lˈʌjʌ
ஹர	hˈʌɹʌ
